"Total Direct Revenue"
"Year","GDP-NJ $ billion nominal","Population-NJ million","Total Direct Revenue-total percent GDP",""
"1957","17.393","5.668","7.90","a"
"1958","17.653","5.798","8.38","i"
"1959","19.136","5.931","8.51","i"
"1960","19.898","6.067","8.80","i"
"1961","20.63","6.169","9.93","a"
"1962","22.161","6.273","9.41","a"
"1963","23.388","6.379","9.45","a"
"1964","24.774","6.486","9.46","a"
"1965","26.655","6.596","9.48","a"
"1966","29.027","6.707","9.49","a"
"1967","30.976","6.820","9.94","a"
"1968","33.657","6.935","10.08","a"
"1969","35.852","7.052","10.94","a"
"1970","38.492","7.171","11.38","a"
"1971","41.307","7.190","11.99","a"
"1972","45.388","7.209","12.44","a"
"1973","49.301","7.229","13.07","a"
"1974","52.987","7.248","13.61","a"
"1975","56.052","7.267","13.52","a"
"1976","60.496","7.287","14.55","a"
"1977","65.839","7.306","15.29","a"
"1978","72.918","7.326","14.47","a"
"1979","81.051","7.345","13.92","a"
"1980","88.334","7.365","13.89","a"
"1981","98.755","7.401","13.98","a"
"1982","105.759","7.437","14.24","a"
"1983","117.962","7.473","14.19","a"
"1984","133.572","7.509","14.35","a"
"1985","145.929","7.545","14.10","a"
"1986","158.836","7.582","14.17","a"
"1987","174.629","7.619","14.64","a"
"1988","194.709","7.656","14.06","a"
"1989","205.075","7.693","14.41","a"
"1990","214.357","7.730","14.49","a"
"1991","221.915","7.796","15.08","a"
"1992","230.774","7.862","16.07","a"
"1993","240.389","7.929","15.96","a"
"1994","251.573","7.997","16.07","a"
"1995","263.468","8.065","16.50","a"
"1996","278.191","8.134","16.88","a"
"1997","308.15","8.203","15.29","a"
"1998","321.334","8.273","15.52","a"
"1999","337.918","8.343","15.31","a"
"2000","363.295","8.431","14.99","a"
"2001","376.678","8.493","14.41","i"
"2002","391.565","8.553","11.72","a"
"2003","408.941","8.601","13.82","i"
"2004","424.935","8.635","15.38","a"
"2005","443.148","8.652","15.46","a"
"2006","465.027","8.662","15.87","a"
"2007","480.912","8.678","17.36","a"
"2008","491.855","8.711","15.14","a"
"2009","482.143","8.756","12.99","a"
"2010","489.13","8.804","17.17","a"
"2011","493.343","8.841","18.24","a"
"2012","514.662","8.873","15.06","a"
"2013","531.072","8.899","16.63","a"
"2014","542.549","8.925","15.66","a"
"2015","564.36","8.935","15.48","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
