"Total Direct Revenue"
"Year","GDP-DC $ billion nominal","Population-DC million","Total Direct Revenue-total percent GDP",""
"1957","3.82","0.775","4.55","a"
"1958","3.877","0.771","4.72","i"
"1959","4.203","0.768","4.62","i"
"1960","4.37","0.764","4.87","i"
"1961","4.531","0.763","4.81","a"
"1962","4.868","0.762","4.81","a"
"1963","5.137","0.762","5.10","a"
"1964","5.553","0.761","5.02","a"
"1965","6.037","0.760","4.89","a"
"1966","6.454","0.760","5.04","a"
"1967","7.183","0.759","4.76","a"
"1968","7.749","0.758","4.87","a"
"1969","8.096","0.757","5.15","a"
"1970","8.559","0.757","5.61","a"
"1971","9.18","0.744","5.98","a"
"1972","9.896","0.731","6.07","a"
"1973","10.4","0.719","6.51","a"
"1974","11.424","0.707","6.60","a"
"1975","12.712","0.695","6.40","a"
"1976","13.945","0.683","7.16","a"
"1977","15.581","0.672","6.60","a"
"1978","16.953","0.660","6.88","a"
"1979","18.417","0.649","6.44","a"
"1980","19.862","0.638","6.56","a"
"1981","21.74","0.635","7.46","a"
"1982","22.958","0.632","7.72","a"
"1983","24.573","0.629","8.02","a"
"1984","26.584","0.626","7.82","a"
"1985","28.534","0.622","8.13","a"
"1986","30.079","0.619","8.83","a"
"1987","32.129","0.616","8.86","a"
"1988","35.226","0.613","8.63","a"
"1989","37.469","0.610","8.62","a"
"1990","39.688","0.607","8.39","a"
"1991","41.43","0.603","8.63","a"
"1992","43.187","0.600","8.28","a"
"1993","45.356","0.596","8.49","a"
"1994","46.655","0.593","8.28","a"
"1995","47.094","0.589","7.94","a"
"1996","47.823","0.586","7.95","a"
"1997","51.566","0.582","8.52","a"
"1998","53.802","0.579","7.97","a"
"1999","57.728","0.575","7.66","a"
"2000","60.059","0.572","7.72","a"
"2001","64.888","0.575","7.05","i"
"2002","69.06","0.573","6.53","a"
"2003","72.78","0.569","5.79","i"
"2004","79.04","0.568","7.75","a"
"2005","83.586","0.567","8.67","a"
"2006","87.496","0.571","9.21","a"
"2007","92.846","0.574","9.04","a"
"2008","97.372","0.580","9.01","a"
"2009","98.415","0.592","6.27","a"
"2010","103.831","0.605","7.43","a"
"2011","107.738","0.620","8.45","a"
"2012","109.685","0.635","8.80","a"
"2013","111.89","0.649","9.04","a"
"2014","116.309","0.659","9.40","a"
"2015","121.119","0.670","8.95","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
