"Total Direct Revenue"
"Year","GDP-FL $ billion nominal","Population-FL million","Total Direct Revenue-total percent GDP",""
"1957","10.92","4.160","8.95","a"
"1958","11.083","4.409","9.89","i"
"1959","12.014","4.672","10.12","i"
"1960","12.493","4.952","10.97","i"
"1961","12.953","5.111","11.60","a"
"1962","13.914","5.275","11.62","a"
"1963","14.684","5.444","11.95","a"
"1964","16.025","5.619","11.96","a"
"1965","17.445","5.799","11.91","a"
"1966","19.182","5.985","11.93","a"
"1967","21.123","6.177","11.75","a"
"1968","23.793","6.376","11.52","a"
"1969","27.427","6.580","11.57","a"
"1970","30.691","6.791","11.79","a"
"1971","34.161","7.041","11.86","a"
"1972","39.709","7.300","12.20","a"
"1973","46.973","7.569","12.01","a"
"1974","52.123","7.847","12.35","a"
"1975","55.288","8.136","12.76","a"
"1976","58.729","8.435","13.84","a"
"1977","65.272","8.745","13.79","a"
"1978","75.681","9.067","13.19","a"
"1979","86.263","9.401","13.23","a"
"1980","97.899","9.746","12.90","a"
"1981","112.167","10.026","12.88","a"
"1982","122.282","10.314","13.39","a"
"1983","136.768","10.611","13.57","a"
"1984","155.993","10.916","13.56","a"
"1985","170.894","11.229","14.36","a"
"1986","185.852","11.552","14.92","a"
"1987","204.816","11.884","15.08","a"
"1988","224.848","12.225","15.14","a"
"1989","241.633","12.577","15.89","a"
"1990","256.589","12.938","16.45","a"
"1991","267.669","13.214","16.50","a"
"1992","284.673","13.497","16.93","a"
"1993","304.403","13.785","17.15","a"
"1994","327.167","14.079","17.20","a"
"1995","346.951","14.380","17.14","a"
"1996","370.912","14.687","17.48","a"
"1997","402.34","15.001","16.63","a"
"1998","434.494","15.321","18.23","a"
"1999","464.773","15.648","16.72","a"
"2000","497.541","16.048","16.22","a"
"2001","529.627","16.357","12.81","i"
"2002","562.431","16.689","13.92","a"
"2003","595.304","17.004","13.20","i"
"2004","639.276","17.415","17.08","a"
"2005","700.267","17.842","16.19","a"
"2006","746.17","18.167","17.34","a"
"2007","769.817","18.368","19.50","a"
"2008","748.32","18.527","16.76","a"
"2009","721.755","18.653","13.06","a"
"2010","735.098","18.849","18.76","a"
"2011","741.455","19.097","20.00","a"
"2012","764.136","19.344","16.86","a"
"2013","794.644","19.582","17.78","a"
"2014","832.34","19.889","18.14","a"
"2015","883.861","20.245","15.46","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
