"Total Direct Revenue"
"Year","GDP-GA $ billion nominal","Population-GA million","Total Direct Revenue-total percent GDP",""
"1957","7.673","3.786","8.84","a"
"1958","7.788","3.838","9.30","i"
"1959","8.442","3.890","8.86","i"
"1960","8.778","3.943","9.38","i"
"1961","9.101","4.003","9.66","a"
"1962","9.777","4.064","9.70","a"
"1963","10.318","4.126","10.13","a"
"1964","11.253","4.189","9.91","a"
"1965","12.519","4.253","10.13","a"
"1966","13.808","4.318","10.15","a"
"1967","14.711","4.384","10.58","a"
"1968","16.424","4.451","10.67","a"
"1969","18.082","4.519","10.72","a"
"1970","19.365","4.588","11.43","a"
"1971","21.57","4.669","11.22","a"
"1972","24.61","4.751","11.53","a"
"1973","28.226","4.835","11.34","a"
"1974","30.378","4.920","12.02","a"
"1975","31.995","5.006","12.50","a"
"1976","36.425","5.095","12.55","a"
"1977","40.785","5.184","12.53","a"
"1978","46.154","5.276","12.33","a"
"1979","51.55","5.369","12.80","a"
"1980","56.229","5.463","13.21","a"
"1981","63.751","5.557","13.22","a"
"1982","68.451","5.653","13.60","a"
"1983","76.738","5.750","13.87","a"
"1984","88.466","5.849","13.00","a"
"1985","98.223","5.949","13.49","a"
"1986","108.089","6.051","13.47","a"
"1987","117.033","6.155","13.65","a"
"1988","126.565","6.261","13.75","a"
"1989","133.794","6.369","14.05","a"
"1990","140.646","6.478","14.74","a"
"1991","147.76","6.632","14.51","a"
"1992","160.062","6.789","14.11","a"
"1993","171.659","6.949","14.46","a"
"1994","187.996","7.114","14.46","a"
"1995","203.397","7.282","14.28","a"
"1996","219.989","7.455","14.64","a"
"1997","242.153","7.631","13.82","a"
"1998","263.95","7.812","12.89","a"
"1999","287.725","7.997","13.83","a"
"2000","306.528","8.227","13.78","a"
"2001","318.226","8.377","13.54","i"
"2002","325.863","8.508","11.30","a"
"2003","340.627","8.623","11.81","i"
"2004","364.062","8.769","13.17","a"
"2005","388.342","8.926","12.80","a"
"2006","404.206","9.156","13.37","a"
"2007","417.7","9.350","14.89","a"
"2008","411.866","9.505","14.32","a"
"2009","404.575","9.621","12.21","a"
"2010","412.485","9.714","14.34","a"
"2011","424.126","9.812","16.08","a"
"2012","439.058","9.915","13.04","a"
"2013","454.238","9.985","15.46","a"
"2014","477.522","10.087","15.13","a"
"2015","501.522","10.199","12.79","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
