"Total Direct Revenue"
"Year","GDP-HI $ billion nominal","Population-HI million","Total Direct Revenue-total percent GDP",""
"1957","1.76","0.590","8.01","i"
"1958","1.787","0.604","0.00",""
"1959","1.937","0.618","0.00",""
"1960","2.014","0.633","10.28","i"
"1961","2.088","0.645","11.11","a"
"1962","2.243","0.658","11.19","a"
"1963","2.367","0.671","10.94","a"
"1964","2.571","0.684","11.32","a"
"1965","2.849","0.698","10.88","a"
"1966","3.11","0.712","12.15","a"
"1967","3.307","0.726","12.70","a"
"1968","3.722","0.740","12.39","a"
"1969","4.262","0.755","12.53","a"
"1970","4.813","0.770","12.67","a"
"1971","5.188","0.787","13.36","a"
"1972","5.624","0.805","13.37","a"
"1973","6.353","0.824","13.66","a"
"1974","7.143","0.843","13.72","a"
"1975","8.173","0.862","13.50","a"
"1976","8.526","0.881","15.07","a"
"1977","9.441","0.902","14.50","a"
"1978","10.508","0.922","13.89","a"
"1979","11.869","0.943","13.87","a"
"1980","13.38","0.965","14.09","a"
"1981","14.64","0.978","14.30","a"
"1982","15.74","0.992","14.21","a"
"1983","17.26","1.006","14.05","a"
"1984","19.132","1.020","13.85","a"
"1985","20.722","1.034","13.64","a"
"1986","22.437","1.048","13.92","a"
"1987","24.273","1.063","13.82","a"
"1988","26.799","1.078","14.22","a"
"1989","29.427","1.093","14.44","a"
"1990","32.534","1.108","15.25","a"
"1991","34.357","1.118","15.20","a"
"1992","36.129","1.128","15.45","a"
"1993","36.732","1.138","15.66","a"
"1994","37.395","1.148","15.68","a"
"1995","37.763","1.159","15.74","a"
"1996","38.125","1.169","16.99","a"
"1997","37.655","1.180","17.85","a"
"1998","37.585","1.190","18.45","a"
"1999","39.224","1.201","17.10","a"
"2000","41.472","1.214","17.35","a"
"2001","43.089","1.226","15.74","i"
"2002","45.581","1.240","12.95","a"
"2003","49.136","1.251","13.61","i"
"2004","53.755","1.274","15.52","a"
"2005","58.573","1.293","15.43","a"
"2006","62.054","1.310","16.10","a"
"2007","65.21","1.316","17.31","a"
"2008","66.692","1.332","14.51","a"
"2009","65.382","1.347","11.40","a"
"2010","68.225","1.364","17.35","a"
"2011","70.017","1.378","18.23","a"
"2012","72.532","1.392","15.47","a"
"2013","74.63","1.406","18.30","a"
"2014","76.835","1.416","20.16","a"
"2015","80.599","1.425","17.09","a"

"Legend:"
" i - interpolated between actual reported values"
" a - actual reported"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
