"Total Direct Revenue"
"Year","GDP-ID $ billion nominal","Population-ID million","Total Direct Revenue-total percent GDP",""
"1957","1.369","0.643","10.96","a"
"1958","1.39","0.651","11.29","i"
"1959","1.506","0.659","11.09","i"
"1960","1.566","0.667","11.62","i"
"1961","1.624","0.672","11.58","a"
"1962","1.744","0.676","12.04","a"
"1963","1.841","0.681","11.62","a"
"1964","1.946","0.685","11.82","a"
"1965","2.197","0.690","11.42","a"
"1966","2.273","0.694","12.76","a"
"1967","2.335","0.699","13.28","a"
"1968","2.497","0.704","13.26","a"
"1969","2.75","0.708","12.91","a"
"1970","3.015","0.713","12.64","a"
"1971","3.265","0.733","13.45","a"
"1972","3.773","0.754","12.64","a"
"1973","4.481","0.776","11.72","a"
"1974","5.186","0.798","11.40","a"
"1975","5.835","0.820","11.67","a"
"1976","6.591","0.844","11.90","a"
"1977","7.206","0.868","11.87","a"
"1978","8.45","0.892","11.74","a"
"1979","9.286","0.918","12.27","a"
"1980","9.916","0.944","12.45","a"
"1981","10.677","0.950","12.72","a"
"1982","10.689","0.956","13.94","a"
"1983","11.834","0.962","13.31","a"
"1984","12.586","0.969","13.81","a"
"1985","13.044","0.975","14.34","a"
"1986","13.22","0.981","15.10","a"
"1987","13.996","0.987","15.73","a"
"1988","15.285","0.994","14.73","a"
"1989","16.909","1.000","15.11","a"
"1990","18.004","1.007","15.66","a"
"1991","18.852","1.032","15.88","a"
"1992","20.632","1.059","16.20","a"
"1993","23.1","1.085","16.21","a"
"1994","25.455","1.113","16.46","a"
"1995","27.762","1.141","16.02","a"
"1996","28.915","1.170","17.37","a"
"1997","29.489","1.200","17.15","a"
"1998","31.142","1.231","18.13","a"
"1999","34.302","1.262","17.02","a"
"2000","38.216","1.299","16.85","a"
"2001","37.611","1.320","16.21","i"
"2002","38.897","1.340","14.03","a"
"2003","40.703","1.363","15.66","i"
"2004","43.61","1.392","18.07","a"
"2005","47.176","1.428","17.23","a"
"2006","51.157","1.469","17.37","a"
"2007","54.507","1.505","18.89","a"
"2008","55.853","1.534","15.00","a"
"2009","53.882","1.554","12.62","a"
"2010","55.258","1.571","17.50","a"
"2011","56.744","1.584","19.60","a"
"2012","58.105","1.596","15.31","a"
"2013","60.854","1.612","16.52","a"
"2014","63.272","1.634","17.94","a"
"2015","65.46","1.653","15.58","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
