"Total Direct Revenue"
"Year","GDP-IL $ billion nominal","Population-IL million","Total Direct Revenue-total percent GDP",""
"1957","29.385","9.649","8.06","a"
"1958","29.824","9.791","8.18","i"
"1959","32.33","9.935","7.61","i"
"1960","33.617","10.081","8.65","i"
"1961","34.855","10.180","9.17","a"
"1962","37.441","10.279","9.22","a"
"1963","39.514","10.380","9.16","a"
"1964","42.478","10.481","8.89","a"
"1965","45.978","10.583","8.70","a"
"1966","50.435","10.687","8.73","a"
"1967","52.817","10.791","8.54","a"
"1968","56.331","10.896","8.81","a"
"1969","60.84","11.003","9.28","a"
"1970","62.763","11.110","11.33","a"
"1971","67.379","11.142","11.44","a"
"1972","73.501","11.173","11.80","a"
"1973","81.286","11.204","11.53","a"
"1974","88.07","11.236","12.07","a"
"1975","95.88","11.267","11.80","a"
"1976","104.819","11.299","12.21","a"
"1977","115.077","11.331","12.31","a"
"1978","128.122","11.363","11.69","a"
"1979","139.253","11.395","11.73","a"
"1980","145.264","11.427","12.55","a"
"1981","159.649","11.427","12.83","a"
"1982","164.267","11.427","13.28","a"
"1983","173.119","11.428","13.56","a"
"1984","194.244","11.428","12.95","a"
"1985","206.281","11.429","12.90","a"
"1986","218.696","11.429","13.21","a"
"1987","231.21","11.429","13.43","a"
"1988","252.197","11.430","12.81","a"
"1989","266.608","11.430","12.93","a"
"1990","279.019","11.431","13.66","a"
"1991","288.473","11.526","13.70","a"
"1992","306.236","11.622","13.49","a"
"1993","320.079","11.719","14.16","a"
"1994","347.971","11.816","13.68","a"
"1995","364.451","11.915","13.99","a"
"1996","383.504","12.014","14.22","a"
"1997","421.596","12.114","13.52","a"
"1998","440.034","12.215","13.52","a"
"1999","463.4","12.317","13.71","a"
"2000","491.644","12.434","14.22","a"
"2001","503.157","12.488","13.59","i"
"2002","513.947","12.526","11.86","a"
"2003","531.106","12.556","11.24","i"
"2004","558.969","12.590","15.16","a"
"2005","586.442","12.610","14.37","a"
"2006","621.232","12.644","14.78","a"
"2007","646.665","12.696","16.07","a"
"2008","642.698","12.747","13.27","a"
"2009","638.032","12.797","8.52","a"
"2010","653.476","12.842","15.94","a"
"2011","679.776","12.860","16.68","a"
"2012","711.37","12.871","14.31","a"
"2013","721.876","12.880","16.84","a"
"2014","747.641","12.868","17.41","a"
"2015","772.182","12.839","14.80","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
