"Total Direct Revenue"
"Year","GDP-IN $ billion nominal","Population-IN million","Total Direct Revenue-total percent GDP",""
"1957","11.628","4.431","7.71","a"
"1958","11.802","4.507","8.67","i"
"1959","12.793","4.584","8.48","i"
"1960","13.303","4.663","8.88","i"
"1961","13.792","4.713","9.06","a"
"1962","14.816","4.765","9.00","a"
"1963","15.636","4.816","9.12","a"
"1964","16.723","4.869","9.63","a"
"1965","18.518","4.922","9.44","a"
"1966","20.049","4.975","9.70","a"
"1967","20.951","5.029","9.91","a"
"1968","22.646","5.084","9.65","a"
"1969","24.212","5.139","10.02","a"
"1970","24.546","5.195","10.82","a"
"1971","26.882","5.224","11.20","a"
"1972","29.954","5.253","11.40","a"
"1973","33.972","5.282","10.44","a"
"1974","35.606","5.311","11.61","a"
"1975","37.677","5.341","11.98","a"
"1976","43.775","5.370","10.78","a"
"1977","47.901","5.400","10.61","a"
"1978","53.729","5.430","10.47","a"
"1979","57.917","5.460","10.61","a"
"1980","58.87","5.490","11.11","a"
"1981","64.724","5.496","11.40","a"
"1982","64.982","5.501","12.38","a"
"1983","69.335","5.506","12.57","a"
"1984","78.859","5.512","12.59","a"
"1985","82.011","5.517","13.34","a"
"1986","86.437","5.523","13.25","a"
"1987","91.65","5.528","13.37","a"
"1988","99.492","5.533","13.04","a"
"1989","107.199","5.539","13.86","a"
"1990","110.86","5.544","14.14","a"
"1991","114.637","5.596","14.42","a"
"1992","124.714","5.648","14.29","a"
"1993","132.108","5.700","14.13","a"
"1994","143.335","5.753","14.26","a"
"1995","150.404","5.806","14.41","a"
"1996","158.35","5.860","13.80","a"
"1997","172.699","5.914","14.05","a"
"1998","186.52","5.969","13.19","a"
"1999","195.099","6.025","13.46","a"
"2000","205.487","6.092","13.41","a"
"2001","206.558","6.128","14.32","i"
"2002","214.497","6.156","13.03","a"
"2003","225.295","6.197","13.39","i"
"2004","238.563","6.233","14.14","a"
"2005","245.197","6.279","15.11","a"
"2006","256.434","6.333","16.74","a"
"2007","270.245","6.380","15.38","a"
"2008","273.475","6.425","14.03","a"
"2009","262.068","6.459","14.09","a"
"2010","282.259","6.491","15.58","a"
"2011","291.57","6.516","15.64","a"
"2012","299.996","6.538","14.21","a"
"2013","311.15","6.569","14.23","a"
"2014","324.425","6.595","14.49","a"
"2015","333.363","6.613","13.70","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
