"Total Direct Revenue"
"Year","GDP-IA $ billion nominal","Population-IA million","Total Direct Revenue-total percent GDP",""
"1957","5.891","2.716","11.42","a"
"1958","5.979","2.730","11.59","i"
"1959","6.481","2.744","11.53","i"
"1960","6.739","2.758","11.93","i"
"1961","6.987","2.764","12.68","a"
"1962","7.505","2.771","11.97","a"
"1963","7.921","2.778","12.17","a"
"1964","8.35","2.784","12.20","a"
"1965","9.196","2.791","11.82","a"
"1966","10.202","2.798","12.01","a"
"1967","10.617","2.805","12.42","a"
"1968","11.273","2.812","12.69","a"
"1969","12.332","2.819","12.62","a"
"1970","12.957","2.825","13.62","a"
"1971","13.666","2.834","13.81","a"
"1972","15.311","2.843","13.47","a"
"1973","18.502","2.852","12.06","a"
"1974","19.341","2.860","12.71","a"
"1975","21.993","2.869","12.36","a"
"1976","24.436","2.878","12.70","a"
"1977","27.011","2.887","12.63","a"
"1978","30.763","2.896","11.90","a"
"1979","33.496","2.905","12.42","a"
"1980","34.582","2.914","13.30","a"
"1981","38.272","2.900","13.00","a"
"1982","37.289","2.886","14.84","a"
"1983","37.481","2.872","15.69","a"
"1984","41.264","2.858","15.01","a"
"1985","42.431","2.844","15.55","a"
"1986","43.226","2.831","16.95","a"
"1987","45.283","2.817","16.78","a"
"1988","49.088","2.804","16.58","a"
"1989","52.907","2.790","16.40","a"
"1990","56.121","2.777","16.10","a"
"1991","57.944","2.791","16.31","a"
"1992","61.87","2.806","15.96","a"
"1993","63.386","2.821","16.75","a"
"1994","70.161","2.836","16.17","a"
"1995","73.137","2.851","16.23","a"
"1996","78.819","2.866","15.25","a"
"1997","83.772","2.881","14.86","a"
"1998","85.629","2.896","15.24","a"
"1999","88.697","2.911","16.54","a"
"2000","94.792","2.929","15.12","a"
"2001","95.934","2.932","14.07","i"
"2002","100.221","2.934","13.94","a"
"2003","106.651","2.942","14.51","i"
"2004","118.023","2.954","15.45","a"
"2005","123.353","2.964","15.26","a"
"2006","127.961","2.983","15.88","a"
"2007","137.598","2.999","16.78","a"
"2008","137.741","3.017","14.63","a"
"2009","137.069","3.033","12.31","a"
"2010","141.697","3.051","16.97","a"
"2011","148.843","3.065","18.27","a"
"2012","158.246","3.076","15.89","a"
"2013","162.305","3.092","16.78","a"
"2014","169.843","3.108","17.40","a"
"2015","175.809","3.122","15.83","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
