"Total Direct Revenue"
"Year","GDP-KS $ billion nominal","Population-KS million","Total Direct Revenue-total percent GDP",""
"1957","4.562","2.093","10.87","a"
"1958","4.631","2.121","11.70","i"
"1959","5.02","2.150","12.05","i"
"1960","5.219","2.179","12.19","i"
"1961","5.412","2.186","13.14","a"
"1962","5.813","2.193","12.18","a"
"1963","6.135","2.200","12.45","a"
"1964","6.418","2.207","12.51","a"
"1965","6.831","2.214","12.46","a"
"1966","7.401","2.221","12.62","a"
"1967","7.76","2.228","13.09","a"
"1968","8.487","2.235","12.38","a"
"1969","9.166","2.242","12.62","a"
"1970","9.755","2.249","13.13","a"
"1971","10.824","2.260","12.62","a"
"1972","12.127","2.272","12.46","a"
"1973","14","2.283","12.16","a"
"1974","15.063","2.294","12.53","a"
"1975","16.855","2.306","12.00","a"
"1976","18.953","2.317","12.31","a"
"1977","20.539","2.329","12.59","a"
"1978","22.824","2.340","12.80","a"
"1979","26.3","2.352","12.48","a"
"1980","28.298","2.364","12.53","a"
"1981","31.978","2.375","12.58","a"
"1982","33.491","2.386","13.32","a"
"1983","35.257","2.397","13.99","a"
"1984","38.442","2.409","14.23","a"
"1985","40.658","2.420","14.91","a"
"1986","41.795","2.431","15.23","a"
"1987","44.164","2.443","16.05","a"
"1988","46.698","2.454","14.97","a"
"1989","48.814","2.466","15.01","a"
"1990","51.874","2.478","15.47","a"
"1991","53.981","2.498","14.87","a"
"1992","56.902","2.518","14.94","a"
"1993","58.953","2.539","15.55","a"
"1994","63.304","2.560","16.29","a"
"1995","65.282","2.581","16.06","a"
"1996","69.616","2.602","15.96","a"
"1997","75.172","2.623","14.83","a"
"1998","79.118","2.645","15.13","a"
"1999","82.643","2.667","14.73","a"
"2000","86.869","2.694","15.83","a"
"2001","89.331","2.702","13.32","i"
"2002","91.952","2.714","14.01","a"
"2003","96.368","2.723","13.47","i"
"2004","99.242","2.734","15.60","a"
"2005","104.884","2.745","15.82","a"
"2006","113.362","2.763","15.95","a"
"2007","122.498","2.784","17.06","a"
"2008","128.108","2.808","14.78","a"
"2009","123.986","2.833","13.70","a"
"2010","128.542","2.859","16.74","a"
"2011","136.884","2.870","17.09","a"
"2012","140.964","2.885","15.49","a"
"2013","143.471","2.893","16.92","a"
"2014","147.585","2.899","17.19","a"
"2015","151.845","2.907","15.52","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
