"Total Direct Revenue"
"Year","GDP-KY $ billion nominal","Population-KY million","Total Direct Revenue-total percent GDP",""
"1957","6.213","3.010","7.31","a"
"1958","6.306","3.019","7.36","i"
"1959","6.836","3.029","7.20","i"
"1960","7.108","3.038","7.41","i"
"1961","7.37","3.056","8.48","a"
"1962","7.917","3.074","8.40","a"
"1963","8.355","3.092","8.58","a"
"1964","8.774","3.110","8.67","a"
"1965","9.518","3.128","8.62","a"
"1966","10.378","3.146","8.83","a"
"1967","11.041","3.165","9.14","a"
"1968","12.212","3.183","9.15","a"
"1969","13.206","3.202","9.96","a"
"1970","13.943","3.221","10.21","a"
"1971","15.568","3.262","10.06","a"
"1972","16.915","3.304","10.24","a"
"1973","18.903","3.347","10.53","a"
"1974","21.173","3.390","10.81","a"
"1975","22.81","3.434","11.56","a"
"1976","26.04","3.478","11.34","a"
"1977","29.176","3.523","11.07","a"
"1978","32.683","3.568","10.91","a"
"1979","35.838","3.614","11.25","a"
"1980","37.017","3.661","11.86","a"
"1981","41.068","3.663","11.68","a"
"1982","42.184","3.666","12.50","a"
"1983","44.092","3.668","12.89","a"
"1984","49.344","3.671","12.56","a"
"1985","51.893","3.673","13.32","a"
"1986","53.199","3.675","14.51","a"
"1987","56.282","3.678","14.30","a"
"1988","61.851","3.680","13.59","a"
"1989","65.525","3.683","14.39","a"
"1990","68.412","3.685","14.35","a"
"1991","71.679","3.719","15.23","a"
"1992","77.531","3.754","14.78","a"
"1993","81.618","3.789","14.79","a"
"1994","87.646","3.824","14.49","a"
"1995","91.915","3.859","15.21","a"
"1996","96.617","3.895","15.67","a"
"1997","104.831","3.931","15.84","a"
"1998","109.619","3.968","16.17","a"
"1999","115.418","4.005","16.11","a"
"2000","114.592","4.049","17.98","a"
"2001","118.302","4.068","16.65","i"
"2002","123.039","4.090","13.87","a"
"2003","128.081","4.117","14.51","i"
"2004","135.666","4.146","15.18","a"
"2005","143.875","4.183","15.24","a"
"2006","152.133","4.219","15.89","a"
"2007","155.441","4.257","17.42","a"
"2008","158.847","4.290","14.15","a"
"2009","156.319","4.317","12.89","a"
"2010","165.974","4.349","16.76","a"
"2011","171.835","4.369","18.37","a"
"2012","177.046","4.385","15.34","a"
"2013","181.135","4.400","16.38","a"
"2014","185.748","4.413","16.95","a"
"2015","191.897","4.425","15.19","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
