"Total Direct Revenue"
"Year","GDP-AL $ billion nominal","Population-AL million","Total Direct Revenue-total percent GDP",""
"1957","5.461","3.204","9.72","a"
"1958","5.542","3.225","9.87","i"
"1959","6.008","3.246","9.95","i"
"1960","6.247","3.267","10.37","i"
"1961","6.477","3.284","10.33","a"
"1962","6.958","3.302","10.71","a"
"1963","7.343","3.319","10.92","a"
"1964","8.22","3.337","10.67","a"
"1965","8.994","3.354","10.64","a"
"1966","9.847","3.372","10.90","a"
"1967","10.053","3.390","11.55","a"
"1968","10.977","3.408","11.30","a"
"1969","11.866","3.426","11.70","a"
"1970","12.475","3.444","12.51","a"
"1971","13.624","3.487","12.63","a"
"1972","15.356","3.530","12.41","a"
"1973","17.428","3.573","12.30","a"
"1974","19.454","3.618","12.28","a"
"1975","21.346","3.662","12.43","a"
"1976","24.324","3.707","13.16","a"
"1977","26.725","3.753","13.46","a"
"1978","30.546","3.800","12.95","a"
"1979","33.712","3.846","13.18","a"
"1980","36.142","3.894","13.66","a"
"1981","40.257","3.908","14.95","a"
"1982","41.778","3.923","14.96","a"
"1983","45.679","3.937","14.99","a"
"1984","50.01","3.952","15.86","a"
"1985","53.824","3.967","15.54","a"
"1986","56.134","3.981","15.79","a"
"1987","60.752","3.996","15.48","a"
"1988","66.008","4.011","15.45","a"
"1989","68.394","4.026","15.65","a"
"1990","71.61","4.041","16.08","a"
"1991","76.043","4.080","15.95","a"
"1992","81.26","4.119","15.89","a"
"1993","84.563","4.158","16.22","a"
"1994","90.098","4.199","15.92","a"
"1995","95.819","4.239","15.94","a"
"1996","100.146","4.280","15.98","a"
"1997","104.218","4.321","16.64","a"
"1998","109.414","4.363","16.51","a"
"1999","115.015","4.405","16.49","a"
"2000","119.02","4.452","17.34","a"
"2001","122.822","4.468","17.18","i"
"2002","127.873","4.480","13.96","a"
"2003","134.388","4.503","15.58","i"
"2004","146.989","4.531","17.16","a"
"2005","156.75","4.570","16.64","a"
"2006","164.468","4.629","17.06","a"
"2007","169.923","4.673","19.29","a"
"2008","172.646","4.718","13.66","a"
"2009","168.315","4.758","15.07","a"
"2010","174.71","4.785","18.28","a"
"2011","180.665","4.800","17.48","a"
"2012","185.878","4.816","18.26","a"
"2013","190.319","4.829","18.27","a"
"2014","194.404","4.843","17.78","a"
"2015","199.98","4.854","16.24","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
