"Total Direct Revenue"
"Year","GDP-LA $ billion nominal","Population-LA million","Total Direct Revenue-total percent GDP",""
"1957","7.183","3.073","10.58","a"
"1958","7.29","3.133","10.56","i"
"1959","7.903","3.195","11.11","i"
"1960","8.218","3.257","11.00","i"
"1961","8.52","3.294","11.03","a"
"1962","9.152","3.331","10.68","a"
"1963","9.659","3.369","10.92","a"
"1964","10.468","3.407","10.63","a"
"1965","11.453","3.445","10.50","a"
"1966","12.774","3.484","10.64","a"
"1967","14.022","3.524","10.46","a"
"1968","15.076","3.564","10.53","a"
"1969","16.321","3.604","10.69","a"
"1970","17.177","3.645","11.04","a"
"1971","18.634","3.697","11.53","a"
"1972","20.294","3.751","12.01","a"
"1973","22.735","3.805","11.68","a"
"1974","26.892","3.860","10.95","a"
"1975","30.675","3.915","10.90","a"
"1976","34.413","3.972","11.48","a"
"1977","39.67","4.029","10.42","a"
"1978","45.212","4.087","10.26","a"
"1979","51.653","4.146","10.28","a"
"1980","63.925","4.206","9.84","a"
"1981","77.201","4.207","9.23","a"
"1982","78.067","4.209","10.74","a"
"1983","76.881","4.210","11.82","a"
"1984","82.623","4.212","11.75","a"
"1985","84.391","4.213","12.77","a"
"1986","77.107","4.214","14.24","a"
"1987","78.488","4.216","14.28","a"
"1988","83.196","4.217","12.51","a"
"1989","87.574","4.219","13.88","a"
"1990","95.177","4.220","13.51","a"
"1991","96.043","4.244","13.92","a"
"1992","90.89","4.269","15.00","a"
"1993","95.866","4.293","15.29","a"
"1994","105.119","4.318","14.09","a"
"1995","112.876","4.343","13.91","a"
"1996","118.807","4.368","14.32","a"
"1997","117.982","4.393","15.94","a"
"1998","120.493","4.418","17.55","a"
"1999","126.357","4.443","16.49","a"
"2000","133.2","4.472","16.55","a"
"2001","138.911","4.478","15.28","i"
"2002","140.451","4.497","14.88","a"
"2003","155.942","4.521","14.21","i"
"2004","171.375","4.552","15.46","a"
"2005","199.683","4.577","14.03","a"
"2006","207.507","4.303","14.35","a"
"2007","209.455","4.376","16.26","a"
"2008","218.781","4.436","13.67","a"
"2009","210.879","4.492","11.56","a"
"2010","232.596","4.545","14.07","a"
"2011","236.248","4.575","15.08","a"
"2012","241.378","4.603","12.35","a"
"2013","234.608","4.626","15.44","a"
"2014","242.102","4.648","15.62","a"
"2015","238.075","4.669","13.68","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
