"Total Direct Revenue"
"Year","GDP-ME $ billion nominal","Population-ME million","Total Direct Revenue-total percent GDP",""
"1957","1.8","0.952","11.28","a"
"1958","1.827","0.958","12.26","i"
"1959","1.98","0.964","11.62","i"
"1960","2.059","0.969","12.92","i"
"1961","2.135","0.972","12.37","a"
"1962","2.293","0.974","12.17","a"
"1963","2.42","0.977","12.07","a"
"1964","2.604","0.979","11.83","a"
"1965","2.807","0.981","11.86","a"
"1966","3.001","0.984","11.86","a"
"1967","3.154","0.986","11.67","a"
"1968","3.406","0.989","11.48","a"
"1969","3.695","0.991","11.83","a"
"1970","3.959","0.994","13.24","a"
"1971","4.207","1.006","13.50","a"
"1972","4.625","1.019","14.66","a"
"1973","5.203","1.031","14.03","a"
"1974","5.603","1.044","14.97","a"
"1975","5.996","1.057","14.06","a"
"1976","6.968","1.070","14.95","a"
"1977","7.647","1.084","13.94","a"
"1978","8.449","1.097","14.21","a"
"1979","9.335","1.111","13.64","a"
"1980","10.263","1.125","13.73","a"
"1981","11.255","1.135","13.84","a"
"1982","12.115","1.145","14.33","a"
"1983","13.239","1.155","14.16","a"
"1984","14.897","1.165","14.13","a"
"1985","16.046","1.175","14.51","a"
"1986","17.382","1.186","14.76","a"
"1987","19.166","1.196","15.37","a"
"1988","21.371","1.207","15.14","a"
"1989","22.67","1.217","15.87","a"
"1990","23.256","1.228","16.19","a"
"1991","23.379","1.233","16.12","a"
"1992","24.329","1.237","18.01","a"
"1993","25.202","1.242","17.29","a"
"1994","26.543","1.247","17.20","a"
"1995","28.153","1.251","16.74","a"
"1996","29.256","1.256","16.46","a"
"1997","30.72","1.261","19.30","a"
"1998","32.394","1.265","20.02","a"
"1999","34.613","1.270","18.96","a"
"2000","37.072","1.277","18.68","a"
"2001","38.834","1.286","17.17","i"
"2002","40.52","1.296","15.10","a"
"2003","42.291","1.307","16.73","i"
"2004","44.887","1.314","19.20","a"
"2005","46.277","1.319","18.88","a"
"2006","48.311","1.324","18.20","a"
"2007","49.452","1.327","19.76","a"
"2008","49.949","1.331","16.10","a"
"2009","50.405","1.330","12.37","a"
"2010","51.456","1.328","17.88","a"
"2011","51.49","1.328","20.43","a"
"2012","52.58","1.329","16.57","a"
"2013","53.348","1.329","18.72","a"
"2014","55.325","1.331","19.78","a"
"2015","57.332","1.329","16.69","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
