"Total Direct Revenue"
"Year","GDP-MD $ billion nominal","Population-MD million","Total Direct Revenue-total percent GDP",""
"1957","7.631","2.851","8.33","a"
"1958","7.745","2.932","8.57","i"
"1959","8.396","3.015","9.03","i"
"1960","8.73","3.101","9.87","i"
"1961","9.051","3.175","10.15","a"
"1962","9.723","3.250","10.50","a"
"1963","10.261","3.328","10.81","a"
"1964","11.171","3.407","10.63","a"
"1965","12.263","3.488","10.52","a"
"1966","13.563","3.571","10.68","a"
"1967","14.319","3.656","11.20","a"
"1968","15.852","3.743","11.52","a"
"1969","17.385","3.833","11.96","a"
"1970","18.72","3.924","13.45","a"
"1971","20.501","3.952","13.35","a"
"1972","22.644","3.981","13.55","a"
"1973","25.112","4.010","14.03","a"
"1974","27.381","4.039","14.34","a"
"1975","29.597","4.068","14.32","a"
"1976","32.612","4.097","14.97","a"
"1977","35.555","4.127","15.04","a"
"1978","39.526","4.157","15.14","a"
"1979","43.628","4.187","15.09","a"
"1980","47.522","4.217","15.27","a"
"1981","53.117","4.270","14.41","a"
"1982","56.339","4.324","14.91","a"
"1983","62.205","4.379","14.43","a"
"1984","69.92","4.434","14.23","a"
"1985","76.878","4.490","14.32","a"
"1986","83.744","4.547","14.81","a"
"1987","91.38","4.605","14.56","a"
"1988","101.28","4.663","15.56","a"
"1989","107.444","4.722","14.67","a"
"1990","112.835","4.781","15.08","a"
"1991","115.428","4.831","15.00","a"
"1992","119.535","4.880","15.52","a"
"1993","125.515","4.930","16.08","a"
"1994","133.311","4.981","15.77","a"
"1995","139.07","5.032","15.78","a"
"1996","145.023","5.084","15.29","a"
"1997","161.164","5.136","16.66","a"
"1998","170.417","5.189","16.42","a"
"1999","180.996","5.243","14.90","a"
"2000","192.565","5.311","15.24","a"
"2001","205.459","5.375","13.68","i"
"2002","217.004","5.440","12.69","a"
"2003","227.841","5.496","12.06","i"
"2004","246.838","5.547","15.03","a"
"2005","263.809","5.592","14.24","a"
"2006","277.634","5.627","14.56","a"
"2007","286.687","5.653","15.73","a"
"2008","294.564","5.685","12.46","a"
"2009","300.929","5.730","10.13","a"
"2010","313.952","5.789","14.64","a"
"2011","324.83","5.844","15.51","a"
"2012","332.5","5.890","13.56","a"
"2013","339.443","5.931","15.42","a"
"2014","350.43","5.967","15.96","a"
"2015","366.242","5.995","14.12","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
