"Total Direct Revenue"
"Year","GDP-MA $ billion nominal","Population-MA million","Total Direct Revenue-total percent GDP",""
"1957","12.951","5.007","10.52","a"
"1958","13.144","5.054","10.70","i"
"1959","14.249","5.101","10.71","i"
"1960","14.816","5.149","10.88","i"
"1961","15.362","5.200","11.36","a"
"1962","16.501","5.252","11.61","a"
"1963","17.415","5.305","11.31","a"
"1964","18.625","5.358","11.05","a"
"1965","19.997","5.412","11.09","a"
"1966","21.837","5.466","11.19","a"
"1967","23.275","5.521","11.60","a"
"1968","25.226","5.577","11.40","a"
"1969","27.476","5.633","11.93","a"
"1970","29.052","5.689","12.75","a"
"1971","30.989","5.694","13.21","a"
"1972","33.807","5.699","14.17","a"
"1973","36.912","5.703","14.83","a"
"1974","39.313","5.708","14.95","a"
"1975","41.91","5.713","15.04","a"
"1976","45.498","5.718","16.89","a"
"1977","50.719","5.723","15.62","a"
"1978","56.883","5.727","14.96","a"
"1979","62.965","5.732","14.64","a"
"1980","69.684","5.737","14.17","a"
"1981","77.833","5.764","13.52","a"
"1982","83.777","5.792","13.64","a"
"1983","93.054","5.819","13.17","a"
"1984","106.425","5.847","12.58","a"
"1985","116.613","5.875","12.79","a"
"1986","127.155","5.903","13.24","a"
"1987","138.9","5.931","12.98","a"
"1988","151.625","5.959","12.53","a"
"1989","158.2","5.988","13.10","a"
"1990","159.505","6.016","13.92","a"
"1991","160.728","6.049","14.47","a"
"1992","167.435","6.082","15.07","a"
"1993","173.527","6.114","15.12","a"
"1994","185.71","6.147","14.73","a"
"1995","196.409","6.181","14.86","a"
"1996","210.63","6.214","14.61","a"
"1997","237.226","6.247","13.55","a"
"1998","249.09","6.281","13.69","a"
"1999","264.74","6.315","13.39","a"
"2000","289.688","6.361","13.69","a"
"2001","297.197","6.398","11.24","i"
"2002","304.012","6.417","11.75","a"
"2003","315.4","6.423","9.55","i"
"2004","330.072","6.412","15.39","a"
"2005","345.059","6.403","15.27","a"
"2006","360.557","6.410","15.75","a"
"2007","378.864","6.432","15.72","a"
"2008","385.445","6.469","14.15","a"
"2009","385.698","6.518","9.93","a"
"2010","402.652","6.566","15.06","a"
"2011","417.283","6.612","15.92","a"
"2012","434.098","6.658","13.49","a"
"2013","442.09","6.707","14.82","a"
"2014","459.118","6.750","16.02","a"
"2015","488.1","6.784","13.99","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
