"Total Direct Revenue"
"Year","GDP-MI $ billion nominal","Population-MI million","Total Direct Revenue-total percent GDP",""
"1957","22.656","7.356","9.37","a"
"1958","22.995","7.509","9.93","i"
"1959","24.927","7.664","9.44","i"
"1960","25.919","7.823","9.98","i"
"1961","26.874","7.923","10.31","a"
"1962","28.868","8.024","9.91","a"
"1963","30.466","8.127","10.31","a"
"1964","32.575","8.231","10.30","a"
"1965","37","8.336","9.77","a"
"1966","39.26","8.442","10.13","a"
"1967","40.025","8.550","10.57","a"
"1968","44.727","8.659","10.74","a"
"1969","47.894","8.770","11.54","a"
"1970","46.178","8.882","13.02","a"
"1971","51.704","8.919","12.73","a"
"1972","56.579","8.957","13.78","a"
"1973","62.907","8.994","13.74","a"
"1974","63.034","9.032","14.91","a"
"1975","67.046","9.070","14.46","a"
"1976","78.77","9.108","14.80","a"
"1977","89.326","9.146","14.07","a"
"1978","99.335","9.185","13.77","a"
"1979","105.413","9.223","14.35","a"
"1980","104.134","9.262","15.80","a"
"1981","114.676","9.265","17.12","a"
"1982","115.166","9.269","17.56","a"
"1983","127.754","9.272","17.29","a"
"1984","143.678","9.275","16.17","a"
"1985","153.605","9.279","15.80","a"
"1986","163.458","9.282","16.70","a"
"1987","169.237","9.285","16.96","a"
"1988","180.621","9.289","16.18","a"
"1989","190.626","9.292","16.23","a"
"1990","193.103","9.295","16.84","a"
"1991","197.717","9.358","17.12","a"
"1992","212.057","9.421","16.95","a"
"1993","226.368","9.484","16.96","a"
"1994","251.484","9.547","16.17","a"
"1995","256.615","9.611","16.18","a"
"1996","270.32","9.676","16.42","a"
"1997","302.803","9.741","17.53","a"
"1998","313.403","9.806","15.69","a"
"1999","337.639","9.872","16.80","a"
"2000","351.621","9.952","17.00","a"
"2001","350.578","9.991","14.48","i"
"2002","364.465","10.016","13.95","a"
"2003","376.269","10.041","15.40","i"
"2004","382.666","10.055","16.97","a"
"2005","395.166","10.051","16.94","a"
"2006","395.55","10.036","17.69","a"
"2007","401.522","10.001","19.17","a"
"2008","384.27","9.947","14.11","a"
"2009","363.146","9.902","15.00","a"
"2010","385.021","9.878","18.91","a"
"2011","399.437","9.876","17.96","a"
"2012","416.701","9.887","16.93","a"
"2013","429.644","9.899","17.50","a"
"2014","445.209","9.916","17.80","a"
"2015","470.611","9.918","15.61","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
