"Total Direct Revenue"
"Year","GDP-MN $ billion nominal","Population-MN million","Total Direct Revenue-total percent GDP",""
"1957","7.991","3.278","10.77","a"
"1958","8.11","3.323","11.48","i"
"1959","8.792","3.368","11.28","i"
"1960","9.141","3.414","11.89","i"
"1961","9.478","3.451","12.52","a"
"1962","10.181","3.489","12.33","a"
"1963","10.745","3.527","12.70","a"
"1964","11.353","3.566","12.68","a"
"1965","12.48","3.605","12.31","a"
"1966","13.747","3.644","12.50","a"
"1967","14.616","3.684","12.62","a"
"1968","16.149","3.724","12.90","a"
"1969","17.681","3.765","12.75","a"
"1970","18.699","3.806","13.39","a"
"1971","20.035","3.832","14.10","a"
"1972","21.925","3.859","15.15","a"
"1973","26.001","3.885","14.11","a"
"1974","27.689","3.912","14.57","a"
"1975","29.683","3.939","15.10","a"
"1976","32.84","3.966","15.62","a"
"1977","36.83","3.993","15.17","a"
"1978","41.641","4.021","14.94","a"
"1979","46.861","4.048","14.69","a"
"1980","50.219","4.076","14.78","a"
"1981","55.404","4.105","15.42","a"
"1982","57.472","4.134","16.32","a"
"1983","61.95","4.164","17.57","a"
"1984","71.369","4.193","17.00","a"
"1985","75.832","4.223","17.15","a"
"1986","79.45","4.253","17.09","a"
"1987","85.365","4.283","17.72","a"
"1988","91.896","4.314","17.37","a"
"1989","98.313","4.344","17.62","a"
"1990","102.757","4.375","17.80","a"
"1991","106.102","4.427","17.72","a"
"1992","114.518","4.479","17.90","a"
"1993","117.947","4.532","18.84","a"
"1994","128.167","4.585","17.71","a"
"1995","135.124","4.639","18.22","a"
"1996","145.88","4.694","18.47","a"
"1997","157.214","4.749","18.73","a"
"1998","167.034","4.805","19.12","a"
"1999","175.778","4.862","18.28","a"
"2000","191.106","4.934","17.80","a"
"2001","195.81","4.983","17.19","i"
"2002","203.521","5.019","14.27","a"
"2003","216.458","5.054","16.34","i"
"2004","231.17","5.088","15.48","a"
"2005","243.933","5.120","15.64","a"
"2006","250.027","5.164","16.62","a"
"2007","258.917","5.207","18.16","a"
"2008","264.299","5.247","14.30","a"
"2009","258.166","5.281","11.75","a"
"2010","269.937","5.311","17.24","a"
"2011","282.397","5.349","18.79","a"
"2012","292.92","5.380","15.56","a"
"2013","304.063","5.419","18.33","a"
"2014","316.973","5.453","18.34","a"
"2015","326.833","5.482","16.62","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
