"Total Direct Revenue"
"Year","GDP-MS $ billion nominal","Population-MS million","Total Direct Revenue-total percent GDP",""
"1957","3.291","2.178","9.63","a"
"1958","3.34","2.178","10.03","i"
"1959","3.621","2.178","10.08","i"
"1960","3.765","2.178","10.49","i"
"1961","3.903","2.182","10.68","a"
"1962","4.193","2.186","10.85","a"
"1963","4.425","2.190","11.14","a"
"1964","4.524","2.194","11.49","a"
"1965","4.925","2.197","11.84","a"
"1966","5.319","2.201","12.09","a"
"1967","5.652","2.205","12.65","a"
"1968","6.267","2.209","11.89","a"
"1969","6.801","2.213","13.12","a"
"1970","7.253","2.217","13.94","a"
"1971","7.923","2.246","14.21","a"
"1972","9.183","2.275","13.31","a"
"1973","10.557","2.304","13.15","a"
"1974","11.281","2.334","13.74","a"
"1975","12.292","2.364","13.79","a"
"1976","14.552","2.394","13.28","a"
"1977","15.957","2.425","13.61","a"
"1978","17.758","2.457","13.88","a"
"1979","20.011","2.488","13.76","a"
"1980","21.353","2.521","13.84","a"
"1981","24.023","2.526","13.63","a"
"1982","24.614","2.531","15.58","a"
"1983","25.967","2.536","15.28","a"
"1984","28.744","2.542","15.11","a"
"1985","30.138","2.547","15.47","a"
"1986","30.996","2.552","16.71","a"
"1987","33.531","2.557","16.33","a"
"1988","35.534","2.563","15.71","a"
"1989","37.208","2.568","16.40","a"
"1990","38.757","2.573","16.67","a"
"1991","40.862","2.599","16.04","a"
"1992","44.012","2.625","15.45","a"
"1993","47.34","2.652","16.50","a"
"1994","51.602","2.679","15.93","a"
"1995","54.984","2.706","16.45","a"
"1996","57.46","2.733","16.93","a"
"1997","58.433","2.760","17.55","a"
"1998","61.112","2.788","19.04","a"
"1999","63.993","2.816","18.50","a"
"2000","65.937","2.848","19.93","a"
"2001","67.445","2.853","18.82","i"
"2002","69.231","2.859","16.29","a"
"2003","73.814","2.868","17.33","i"
"2004","77.778","2.889","19.32","a"
"2005","81.678","2.906","18.49","a"
"2006","86.291","2.905","19.27","a"
"2007","91.422","2.928","21.67","a"
"2008","97.134","2.948","15.79","a"
"2009","93.669","2.959","14.21","a"
"2010","95.81","2.970","20.30","a"
"2011","96.968","2.978","22.90","a"
"2012","101.351","2.985","18.24","a"
"2013","103.523","2.990","21.07","a"
"2014","104.284","2.992","22.65","a"
"2015","105.871","2.989","19.94","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
