"Total Direct Revenue"
"Year","GDP-MO $ billion nominal","Population-MO million","Total Direct Revenue-total percent GDP",""
"1957","10.123","4.207","7.23","a"
"1958","10.275","4.244","7.66","i"
"1959","11.138","4.282","7.50","i"
"1960","11.581","4.320","7.83","i"
"1961","12.008","4.354","8.42","a"
"1962","12.899","4.389","8.61","a"
"1963","13.613","4.424","8.65","a"
"1964","14.454","4.460","8.94","a"
"1965","15.625","4.495","9.04","a"
"1966","16.843","4.531","9.21","a"
"1967","17.843","4.567","9.48","a"
"1968","19.711","4.604","9.01","a"
"1969","21.095","4.641","9.55","a"
"1970","22.23","4.678","10.24","a"
"1971","24.245","4.701","10.11","a"
"1972","26.414","4.724","10.66","a"
"1973","29.275","4.748","10.72","a"
"1974","30.468","4.772","11.22","a"
"1975","33.001","4.796","11.06","a"
"1976","37.211","4.820","11.23","a"
"1977","41.15","4.844","10.84","a"
"1978","46.176","4.868","10.36","a"
"1979","50.601","4.892","10.76","a"
"1980","52.42","4.917","11.35","a"
"1981","57.763","4.936","11.04","a"
"1982","60.699","4.956","11.68","a"
"1983","65.538","4.976","11.89","a"
"1984","74.539","4.996","11.56","a"
"1985","77.912","5.016","12.03","a"
"1986","83.33","5.036","12.40","a"
"1987","88.912","5.056","12.43","a"
"1988","95.76","5.076","12.23","a"
"1989","101.412","5.097","12.40","a"
"1990","103.566","5.117","12.83","a"
"1991","109.162","5.163","12.71","a"
"1992","115.288","5.209","13.11","a"
"1993","118.906","5.256","13.42","a"
"1994","130.567","5.303","12.87","a"
"1995","140.06","5.351","14.16","a"
"1996","148.257","5.399","14.59","a"
"1997","163.526","5.447","13.28","a"
"1998","170.692","5.496","14.29","a"
"1999","178.605","5.545","13.91","a"
"2000","188.736","5.607","13.78","a"
"2001","192.227","5.641","13.97","i"
"2002","197.222","5.675","11.81","a"
"2003","205.164","5.709","12.10","i"
"2004","215.606","5.748","14.80","a"
"2005","224.091","5.790","14.62","a"
"2006","232.795","5.843","15.28","a"
"2007","240.613","5.888","17.03","a"
"2008","250.088","5.924","13.11","a"
"2009","250.436","5.961","9.34","a"
"2010","255.865","5.996","15.38","a"
"2011","257.225","6.011","17.38","a"
"2012","266.245","6.025","14.28","a"
"2013","275.911","6.043","16.59","a"
"2014","282.034","6.061","16.80","a"
"2015","292.718","6.076","14.35","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
