"Total Direct Revenue"
"Year","GDP-MT $ billion nominal","Population-MT million","Total Direct Revenue-total percent GDP",""
"1957","1.468","0.648","12.87","a"
"1958","1.49","0.657","13.22","i"
"1959","1.615","0.666","13.25","i"
"1960","1.679","0.675","13.28","i"
"1961","1.741","0.677","13.73","a"
"1962","1.87","0.679","12.99","a"
"1963","1.974","0.681","13.02","a"
"1964","2.024","0.683","13.49","a"
"1965","2.178","0.685","13.13","a"
"1966","2.349","0.686","13.37","a"
"1967","2.362","0.688","13.80","a"
"1968","2.531","0.690","14.30","a"
"1969","2.761","0.692","13.55","a"
"1970","2.919","0.694","14.46","a"
"1971","3.143","0.703","14.48","a"
"1972","3.661","0.712","15.00","a"
"1973","4.341","0.721","13.31","a"
"1974","4.661","0.730","14.50","a"
"1975","5.218","0.739","14.14","a"
"1976","6.032","0.748","14.21","a"
"1977","6.35","0.758","15.07","a"
"1978","7.443","0.767","14.03","a"
"1979","8.173","0.777","14.11","a"
"1980","8.925","0.787","14.49","a"
"1981","10.201","0.788","14.34","a"
"1982","10.206","0.789","16.68","a"
"1983","10.584","0.790","17.82","a"
"1984","11.01","0.792","18.48","a"
"1985","10.941","0.793","19.53","a"
"1986","10.979","0.794","19.43","a"
"1987","11.383","0.795","19.13","a"
"1988","11.703","0.797","20.05","a"
"1989","12.63","0.798","19.07","a"
"1990","13.242","0.799","19.95","a"
"1991","13.875","0.809","18.40","a"
"1992","14.937","0.819","19.33","a"
"1993","16.054","0.829","19.22","a"
"1994","17.062","0.839","18.94","a"
"1995","17.519","0.849","19.35","a"
"1996","18.119","0.859","19.10","a"
"1997","19.178","0.870","19.48","a"
"1998","20.381","0.881","18.77","a"
"1999","20.874","0.891","18.59","a"
"2000","21.953","0.904","19.76","a"
"2001","23.054","0.907","18.29","i"
"2002","23.983","0.912","16.35","a"
"2003","25.746","0.920","16.76","i"
"2004","28.019","0.930","18.21","a"
"2005","30.637","0.940","17.60","a"
"2006","32.914","0.953","18.19","a"
"2007","35.947","0.965","19.88","a"
"2008","36.917","0.976","17.35","a"
"2009","36.079","0.984","13.40","a"
"2010","38.375","0.991","18.39","a"
"2011","41.187","0.998","18.48","a"
"2012","42.349","1.005","15.28","a"
"2013","43.229","1.014","18.53","a"
"2014","45.058","1.023","19.62","a"
"2015","45.845","1.032","16.04","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
