"Total Direct Revenue"
"Year","GDP-NE $ billion nominal","Population-NE million","Total Direct Revenue-total percent GDP",""
"1957","3.169","1.385","11.49","a"
"1958","3.217","1.394","12.06","i"
"1959","3.487","1.403","12.02","i"
"1960","3.626","1.411","12.47","i"
"1961","3.759","1.419","13.09","a"
"1962","4.038","1.426","12.65","a"
"1963","4.262","1.433","12.72","a"
"1964","4.4","1.440","13.18","a"
"1965","4.749","1.448","12.74","a"
"1966","5.205","1.455","12.58","a"
"1967","5.486","1.463","13.01","a"
"1968","5.823","1.470","13.84","a"
"1969","6.537","1.478","14.03","a"
"1970","6.907","1.485","14.96","a"
"1971","7.66","1.494","15.14","a"
"1972","8.487","1.502","14.30","a"
"1973","9.961","1.510","13.80","a"
"1974","10.44","1.519","14.44","a"
"1975","11.875","1.527","13.95","a"
"1976","13.042","1.535","14.70","a"
"1977","13.874","1.544","16.71","a"
"1978","15.851","1.553","15.60","a"
"1979","17.423","1.561","16.11","a"
"1980","18.294","1.570","17.16","a"
"1981","20.863","1.571","16.18","a"
"1982","21.265","1.572","17.44","a"
"1983","21.82","1.572","18.88","a"
"1984","24.631","1.573","18.06","a"
"1985","25.717","1.574","18.18","a"
"1986","26.045","1.575","19.02","a"
"1987","26.76","1.576","19.58","a"
"1988","29.262","1.577","18.42","a"
"1989","31.332","1.578","18.78","a"
"1990","33.734","1.578","18.52","a"
"1991","35.613","1.591","18.18","a"
"1992","38.214","1.604","17.51","a"
"1993","39.353","1.617","17.51","a"
"1994","43.504","1.630","17.32","a"
"1995","45.111","1.643","17.65","a"
"1996","49.007","1.657","17.56","a"
"1997","50.605","1.670","18.58","a"
"1998","52.399","1.684","18.23","a"
"1999","54.223","1.697","17.33","a"
"2000","57.235","1.714","17.37","a"
"2001","59.846","1.720","16.87","i"
"2002","61.94","1.728","16.24","a"
"2003","66.931","1.739","14.42","i"
"2004","70.644","1.749","18.37","a"
"2005","73.455","1.762","18.02","a"
"2006","77.547","1.773","18.52","a"
"2007","81.926","1.783","18.92","a"
"2008","84.873","1.796","16.92","a"
"2009","86.961","1.813","14.82","a"
"2010","92.231","1.830","18.03","a"
"2011","99.935","1.842","18.11","a"
"2012","101.973","1.856","16.45","a"
"2013","106.765","1.869","17.77","a"
"2014","112.087","1.881","18.24","a"
"2015","113.458","1.894","17.41","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
