"Total Direct Revenue"
"Year","GDP-AK $ billion nominal","Population-AK million","Total Direct Revenue-total percent GDP",""
"1957","0.805","0.191","6.09","i"
"1958","0.817","0.202","0.00",""
"1959","0.886","0.214","6.43","i"
"1960","0.921","0.226","7.38","i"
"1961","0.955","0.233","8.38","a"
"1962","1.026","0.240","10.53","a"
"1963","1.083","0.247","10.71","a"
"1964","1.23","0.254","8.94","a"
"1965","1.374","0.262","9.02","a"
"1966","1.494","0.269","10.31","a"
"1967","1.643","0.277","10.16","a"
"1968","1.899","0.285","10.64","a"
"1969","2.073","0.294","10.52","a"
"1970","2.359","0.303","50.57","a"
"1971","2.539","0.311","15.08","a"
"1972","2.743","0.320","15.13","a"
"1973","3.041","0.329","13.29","a"
"1974","3.999","0.339","12.63","a"
"1975","6.22","0.349","10.47","a"
"1976","7.47","0.359","15.38","a"
"1977","7.544","0.369","18.78","a"
"1978","9.13","0.380","15.40","a"
"1979","10.891","0.391","17.47","a"
"1980","15.282","0.402","22.35","a"
"1981","21.824","0.415","24.71","a"
"1982","23.461","0.428","26.90","a"
"1983","22.591","0.442","25.24","a"
"1984","23.787","0.456","25.42","a"
"1985","26.142","0.470","25.98","a"
"1986","19.181","0.485","36.53","a"
"1987","22.925","0.501","25.12","a"
"1988","21.27","0.517","27.10","a"
"1989","23.453","0.533","25.18","a"
"1990","25.04","0.550","25.58","a"
"1991","22.283","0.557","32.17","a"
"1992","22.753","0.565","31.00","a"
"1993","23.284","0.572","34.53","a"
"1994","23.605","0.580","28.90","a"
"1995","25.449","0.587","35.42","a"
"1996","26.737","0.595","33.22","a"
"1997","25.446","0.603","39.67","a"
"1998","24.03","0.611","40.67","a"
"1999","24.684","0.619","31.78","a"
"2000","26.853","0.628","33.94","a"
"2001","28.553","0.634","23.09","i"
"2002","29.763","0.642","17.48","a"
"2003","32.039","0.648","20.45","i"
"2004","35.195","0.659","24.47","a"
"2005","40.063","0.667","22.09","a"
"2006","44.679","0.675","24.26","a"
"2007","49.197","0.680","26.44","a"
"2008","55.461","0.687","30.01","a"
"2009","50.463","0.699","19.68","a"
"2010","54.134","0.714","22.86","a"
"2011","58.759","0.723","25.52","a"
"2012","60.89","0.731","24.73","a"
"2013","59.808","0.737","24.09","a"
"2014","58.267","0.737","22.98","a"
"2015","53.384","0.738","15.99","a"

"Legend:"
" i - interpolated between actual reported values"
" a - actual reported"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
