"Total Direct Revenue"
"Year","GDP-NV $ billion nominal","Population-NV million","Total Direct Revenue-total percent GDP",""
"1957","1.353","0.240","6.95","a"
"1958","1.373","0.254","7.28","i"
"1959","1.488","0.269","7.12","i"
"1960","1.548","0.285","7.82","i"
"1961","1.605","0.301","8.16","a"
"1962","1.724","0.318","8.76","a"
"1963","1.819","0.335","9.84","a"
"1964","1.933","0.354","10.50","a"
"1965","2.032","0.373","10.88","a"
"1966","2.131","0.394","11.40","a"
"1967","2.248","0.416","11.79","a"
"1968","2.549","0.439","12.00","a"
"1969","2.947","0.463","11.57","a"
"1970","3.262","0.489","12.20","a"
"1971","3.611","0.513","12.85","a"
"1972","3.99","0.539","12.83","a"
"1973","4.53","0.567","13.62","a"
"1974","4.966","0.595","13.91","a"
"1975","5.529","0.625","14.14","a"
"1976","6.263","0.657","14.80","a"
"1977","7.416","0.690","13.86","a"
"1978","8.932","0.725","13.40","a"
"1979","10.295","0.762","13.97","a"
"1980","11.633","0.800","13.53","a"
"1981","13.203","0.834","13.42","a"
"1982","13.885","0.868","14.64","a"
"1983","15.06","0.904","15.05","a"
"1984","16.514","0.942","14.68","a"
"1985","17.945","0.981","14.92","a"
"1986","19.731","1.022","15.47","a"
"1987","21.951","1.064","15.12","a"
"1988","24.987","1.108","13.83","a"
"1989","27.847","1.154","14.11","a"
"1990","30.98","1.202","14.91","a"
"1991","32.786","1.265","15.09","a"
"1992","36.052","1.330","15.01","a"
"1993","40.039","1.400","14.97","a"
"1994","45.173","1.473","14.26","a"
"1995","49.249","1.550","14.95","a"
"1996","54.419","1.631","15.09","a"
"1997","60.052","1.716","15.22","a"
"1998","64.707","1.805","15.65","a"
"1999","71.428","1.899","14.80","a"
"2000","77.006","2.019","13.83","a"
"2001","81.363","2.098","12.48","i"
"2002","85.647","2.174","13.05","a"
"2003","91.846","2.249","13.74","i"
"2004","105.062","2.346","14.25","a"
"2005","118.785","2.432","14.07","a"
"2006","128.311","2.523","14.01","a"
"2007","132.167","2.601","15.69","a"
"2008","128.363","2.654","13.82","a"
"2009","120.202","2.685","11.55","a"
"2010","121.713","2.703","15.95","a"
"2011","124.445","2.718","18.15","a"
"2012","125.44","2.753","15.22","a"
"2013","128.205","2.786","17.27","a"
"2014","132.653","2.833","18.39","a"
"2015","141.07","2.884","14.81","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
