"Total Direct Revenue"
"Year","GDP-NH $ billion nominal","Population-NH million","Total Direct Revenue-total percent GDP",""
"1957","1.228","0.584","11.32","a"
"1958","1.246","0.591","11.80","i"
"1959","1.351","0.599","11.62","i"
"1960","1.405","0.607","12.17","i"
"1961","1.456","0.619","12.43","a"
"1962","1.564","0.631","12.60","a"
"1963","1.651","0.644","12.42","a"
"1964","1.812","0.656","11.87","a"
"1965","1.961","0.669","12.19","a"
"1966","2.169","0.682","11.94","a"
"1967","2.37","0.696","12.07","a"
"1968","2.596","0.709","11.98","a"
"1969","2.817","0.723","12.35","a"
"1970","3.05","0.738","13.02","a"
"1971","3.332","0.754","13.84","a"
"1972","3.626","0.771","15.25","a"
"1973","4.173","0.788","13.99","a"
"1974","4.47","0.806","14.16","a"
"1975","4.842","0.824","14.37","a"
"1976","5.511","0.843","14.23","a"
"1977","6.298","0.861","13.78","a"
"1978","7.389","0.881","12.80","a"
"1979","8.351","0.900","12.93","a"
"1980","9.263","0.921","12.40","a"
"1981","10.48","0.938","11.83","a"
"1982","11.407","0.956","12.75","a"
"1983","12.629","0.974","12.54","a"
"1984","14.767","0.992","11.77","a"
"1985","16.578","1.011","11.33","a"
"1986","18.369","1.030","11.47","a"
"1987","20.994","1.049","11.59","a"
"1988","22.937","1.069","11.47","a"
"1989","23.777","1.089","12.08","a"
"1990","23.768","1.109","12.95","a"
"1991","24.763","1.121","13.64","a"
"1992","26.332","1.133","14.65","a"
"1993","27.362","1.146","14.23","a"
"1994","29.19","1.158","13.69","a"
"1995","31.876","1.171","13.64","a"
"1996","34.561","1.184","13.52","a"
"1997","38.4","1.196","12.49","a"
"1998","40.652","1.209","12.93","a"
"1999","42.027","1.223","12.90","a"
"2000","45.519","1.240","12.93","a"
"2001","46.967","1.256","11.34","i"
"2002","49.091","1.269","11.07","a"
"2003","51.66","1.280","11.26","i"
"2004","54.327","1.290","12.34","a"
"2005","57.282","1.298","12.72","a"
"2006","59.947","1.308","12.89","a"
"2007","61.37","1.313","14.17","a"
"2008","61.442","1.316","12.88","a"
"2009","62.205","1.316","11.65","a"
"2010","64.159","1.317","14.43","a"
"2011","65.214","1.318","15.38","a"
"2012","66.948","1.321","13.51","a"
"2013","68.558","1.323","14.84","a"
"2014","71.1","1.329","15.06","a"
"2015","74.269","1.330","13.64","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
