"Total Direct Revenue"
"Year","GDP-NM $ billion nominal","Population-NM million","Total Direct Revenue-total percent GDP",""
"1957","2.253","0.860","9.10","a"
"1958","2.287","0.890","9.58","i"
"1959","2.479","0.920","9.92","i"
"1960","2.578","0.951","10.47","i"
"1961","2.673","0.957","10.74","a"
"1962","2.871","0.964","10.59","a"
"1963","3.03","0.970","11.06","a"
"1964","3.156","0.977","11.66","a"
"1965","3.311","0.983","12.11","a"
"1966","3.452","0.990","12.66","a"
"1967","3.514","0.997","12.72","a"
"1968","3.806","1.003","12.56","a"
"1969","4.091","1.010","13.03","a"
"1970","4.431","1.017","13.43","a"
"1971","4.822","1.043","13.38","a"
"1972","5.406","1.069","13.24","a"
"1973","6.189","1.096","12.75","a"
"1974","7.116","1.123","12.41","a"
"1975","8.098","1.151","12.95","a"
"1976","9.254","1.180","13.17","a"
"1977","10.102","1.210","12.99","a"
"1978","11.536","1.240","13.72","a"
"1979","13.141","1.271","14.11","a"
"1980","15.731","1.303","14.29","a"
"1981","18.511","1.323","15.02","a"
"1982","19.242","1.343","16.59","a"
"1983","19.882","1.363","17.14","a"
"1984","21.397","1.384","19.76","a"
"1985","22.534","1.405","18.13","a"
"1986","21.807","1.426","20.00","a"
"1987","22.429","1.448","19.84","a"
"1988","23.457","1.470","19.86","a"
"1989","24.927","1.492","20.22","a"
"1990","26.6","1.515","19.83","a"
"1991","30.295","1.543","17.62","a"
"1992","32.638","1.572","17.85","a"
"1993","36.876","1.601","17.04","a"
"1994","41.685","1.630","16.24","a"
"1995","42.146","1.660","16.73","a"
"1996","44.532","1.691","18.46","a"
"1997","52.564","1.722","15.60","a"
"1998","50.566","1.754","18.69","a"
"1999","53.06","1.786","16.90","a"
"2000","55.255","1.821","19.32","a"
"2001","56.378","1.832","16.24","i"
"2002","58.372","1.855","14.36","a"
"2003","63.642","1.878","13.93","i"
"2004","70.358","1.904","15.84","a"
"2005","74.403","1.932","16.66","a"
"2006","77.984","1.962","18.42","a"
"2007","80.896","1.990","20.53","a"
"2008","86.318","2.011","13.83","a"
"2009","82.838","2.037","10.72","a"
"2010","86.079","2.065","17.76","a"
"2011","89.261","2.078","19.69","a"
"2012","90.146","2.084","15.70","a"
"2013","90.834","2.085","18.33","a"
"2014","94.707","2.083","20.40","a"
"2015","93.23","2.080","18.21","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
