"Total Direct Revenue"
"Year","GDP-NY $ billion nominal","Population-NY million","Total Direct Revenue-total percent GDP",""
"1957","52.532","16.171","10.28","a"
"1958","53.317","16.372","10.76","i"
"1959","57.797","16.576","10.48","i"
"1960","60.098","16.782","11.55","i"
"1961","62.311","16.923","11.53","a"
"1962","66.934","17.065","11.85","a"
"1963","70.64","17.207","12.26","a"
"1964","75.542","17.351","12.25","a"
"1965","80.347","17.497","12.16","a"
"1966","86.559","17.643","12.39","a"
"1967","92.078","17.791","13.14","a"
"1968","99.817","17.940","13.07","a"
"1969","107.031","18.090","13.77","a"
"1970","112.349","18.241","14.73","a"
"1971","119.145","18.172","15.03","a"
"1972","127.221","18.103","15.95","a"
"1973","136.396","18.034","16.90","a"
"1974","145.419","17.965","17.14","a"
"1975","155.256","17.897","17.34","a"
"1976","163.284","17.828","18.89","a"
"1977","179.89","17.760","18.57","a"
"1978","200.063","17.693","17.21","a"
"1979","217.725","17.625","16.71","a"
"1980","235.746","17.558","16.96","a"
"1981","261.84","17.601","17.12","a"
"1982","282.227","17.644","17.27","a"
"1983","305.288","17.687","17.65","a"
"1984","339.427","17.730","17.50","a"
"1985","364.281","17.773","18.42","a"
"1986","390.104","17.816","18.80","a"
"1987","418.306","17.860","19.21","a"
"1988","456.557","17.903","18.49","a"
"1989","473.252","17.947","18.63","a"
"1990","493.192","17.991","19.10","a"
"1991","497.336","18.087","19.50","a"
"1992","519.704","18.184","20.67","a"
"1993","537.504","18.281","20.43","a"
"1994","555.322","18.379","20.31","a"
"1995","582.656","18.477","20.99","a"
"1996","620.153","18.576","20.89","a"
"1997","711.272","18.675","18.63","a"
"1998","741.272","18.775","19.16","a"
"1999","790.079","18.876","18.21","a"
"2000","833.306","19.002","19.16","a"
"2001","876.598","19.083","18.06","i"
"2002","890.612","19.138","15.14","a"
"2003","905.593","19.176","15.32","i"
"2004","958.357","19.172","18.86","a"
"2005","1023.43","19.133","18.47","a"
"2006","1077.89","19.105","20.61","a"
"2007","1114.7","19.132","22.19","a"
"2008","1113.45","19.212","17.88","a"
"2009","1148.41","19.307","11.16","a"
"2010","1204.69","19.403","21.42","a"
"2011","1229.74","19.520","21.51","a"
"2012","1301.04","19.603","18.43","a"
"2013","1330.24","19.674","20.77","a"
"2014","1391.09","19.719","22.34","a"
"2015","1445.61","19.747","19.37","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
