"Total Direct Revenue"
"Year","GDP-NC $ billion nominal","Population-NC million","Total Direct Revenue-total percent GDP",""
"1957","9.399","4.402","8.18","a"
"1958","9.54","4.453","8.52","i"
"1959","10.341","4.504","8.36","i"
"1960","10.753","4.556","8.97","i"
"1961","11.149","4.606","9.12","a"
"1962","11.976","4.657","9.45","a"
"1963","12.639","4.709","9.63","a"
"1964","13.482","4.761","9.65","a"
"1965","14.544","4.813","9.70","a"
"1966","15.966","4.866","9.81","a"
"1967","17.155","4.920","10.11","a"
"1968","18.962","4.974","9.99","a"
"1969","20.882","5.029","10.13","a"
"1970","22.84","5.084","10.53","a"
"1971","25.035","5.159","10.53","a"
"1972","28.005","5.235","10.67","a"
"1973","31.755","5.312","10.51","a"
"1974","33.607","5.389","11.17","a"
"1975","35.998","5.469","11.55","a"
"1976","40.454","5.549","11.58","a"
"1977","43.822","5.630","11.98","a"
"1978","49.867","5.713","11.40","a"
"1979","54.515","5.797","11.88","a"
"1980","58.791","5.882","12.41","a"
"1981","65.869","5.953","12.25","a"
"1982","68.971","6.024","13.15","a"
"1983","77.543","6.097","12.80","a"
"1984","88.151","6.170","12.56","a"
"1985","96.535","6.244","13.41","a"
"1986","104.785","6.319","13.63","a"
"1987","113.262","6.395","14.22","a"
"1988","124.303","6.472","13.94","a"
"1989","133.866","6.550","13.76","a"
"1990","139.658","6.629","14.40","a"
"1991","146.367","6.759","14.18","a"
"1992","159.337","6.891","14.22","a"
"1993","168.006","7.026","14.60","a"
"1994","181.288","7.164","14.57","a"
"1995","193.467","7.305","14.75","a"
"1996","203.815","7.448","14.76","a"
"1997","232.37","7.594","14.00","a"
"1998","247.372","7.743","16.45","a"
"1999","265.463","7.895","15.59","a"
"2000","277.141","8.082","14.97","a"
"2001","290.541","8.210","12.48","i"
"2002","300.834","8.326","12.75","a"
"2003","312.441","8.423","11.25","i"
"2004","332.545","8.553","15.50","a"
"2005","357.168","8.705","14.49","a"
"2006","386.914","8.917","14.21","a"
"2007","397.063","9.118","15.72","a"
"2008","415.095","9.309","15.15","a"
"2009","407.846","9.450","10.21","a"
"2010","416.008","9.559","16.63","a"
"2011","427.974","9.651","17.75","a"
"2012","438.35","9.746","15.90","a"
"2013","454.945","9.842","16.16","a"
"2014","474.482","9.934","16.25","a"
"2015","499.741","10.035","14.11","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
