"Total Direct Revenue"
"Year","GDP-ND $ billion nominal","Population-ND million","Total Direct Revenue-total percent GDP",""
"1957","1.208","0.629","13.25","a"
"1958","1.226","0.630","13.62","i"
"1959","1.329","0.631","13.17","i"
"1960","1.382","0.632","13.60","i"
"1961","1.433","0.631","13.96","a"
"1962","1.539","0.629","13.32","a"
"1963","1.624","0.628","13.24","a"
"1964","1.591","0.627","14.83","a"
"1965","1.825","0.625","14.36","a"
"1966","1.846","0.624","14.84","a"
"1967","1.874","0.622","16.17","a"
"1968","1.958","0.621","16.55","a"
"1969","2.178","0.619","15.79","a"
"1970","2.294","0.618","16.09","a"
"1971","2.632","0.621","15.16","a"
"1972","3.078","0.625","13.61","a"
"1973","4.404","0.628","10.81","a"
"1974","4.506","0.632","12.41","a"
"1975","4.869","0.635","13.19","a"
"1976","5.052","0.639","14.19","a"
"1977","5.243","0.642","14.44","a"
"1978","6.417","0.646","12.87","a"
"1979","7.218","0.649","12.62","a"
"1980","7.645","0.653","14.43","a"
"1981","9.954","0.651","13.28","a"
"1982","9.954","0.650","14.37","a"
"1983","10.045","0.649","14.69","a"
"1984","10.642","0.647","15.72","a"
"1985","10.655","0.646","16.53","a"
"1986","9.773","0.644","17.35","a"
"1987","10.306","0.643","16.61","a"
"1988","9.748","0.642","18.27","a"
"1989","10.729","0.640","17.59","a"
"1990","11.509","0.639","17.15","a"
"1991","11.691","0.639","18.03","a"
"1992","12.896","0.639","16.50","a"
"1993","13.049","0.640","17.54","a"
"1994","14.304","0.640","16.53","a"
"1995","14.842","0.640","17.14","a"
"1996","16.491","0.641","16.59","a"
"1997","15.769","0.641","18.63","a"
"1998","16.761","0.642","19.24","a"
"1999","16.958","0.642","18.12","a"
"2000","17.973","0.642","18.75","a"
"2001","18.971","0.639","18.38","i"
"2002","20.263","0.638","15.15","a"
"2003","22.194","0.639","14.65","i"
"2004","23.262","0.645","22.42","a"
"2005","24.622","0.646","15.96","a"
"2006","26.414","0.649","16.93","a"
"2007","28.887","0.653","17.30","a"
"2008","32.495","0.658","16.06","a"
"2009","32.489","0.665","13.99","a"
"2010","36.202","0.675","16.58","a"
"2011","42.164","0.685","18.44","a"
"2012","52.493","0.702","14.93","a"
"2013","54.965","0.724","17.10","a"
"2014","59.627","0.740","17.81","a"
"2015","55.927","0.757","18.74","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
