"Total Direct Revenue"
"Year","GDP-OH $ billion nominal","Population-OH million","Total Direct Revenue-total percent GDP",""
"1957","24.742","9.141","9.38","a"
"1958","25.111","9.326","9.74","i"
"1959","27.221","9.514","9.54","i"
"1960","28.305","9.706","10.45","i"
"1961","29.347","9.798","10.63","a"
"1962","31.525","9.890","10.30","a"
"1963","33.27","9.982","10.38","a"
"1964","35.652","10.076","10.27","a"
"1965","39.071","10.171","10.03","a"
"1966","42.672","10.266","9.88","a"
"1967","44.42","10.363","10.01","a"
"1968","48.696","10.460","10.03","a"
"1969","52.817","10.558","10.22","a"
"1970","53.714","10.657","11.26","a"
"1971","57.975","10.671","11.29","a"
"1972","62.94","10.685","11.74","a"
"1973","69.836","10.699","11.84","a"
"1974","74.206","10.713","11.99","a"
"1975","78.141","10.727","12.33","a"
"1976","87.419","10.741","12.81","a"
"1977","96.995","10.755","12.68","a"
"1978","107.554","10.769","12.55","a"
"1979","117.117","10.784","12.84","a"
"1980","121.228","10.798","13.54","a"
"1981","132.782","10.803","13.98","a"
"1982","134.636","10.808","15.19","a"
"1983","144.897","10.813","16.25","a"
"1984","163.854","10.817","15.08","a"
"1985","174.165","10.822","15.72","a"
"1986","182.644","10.827","16.08","a"
"1987","191.784","10.832","16.55","a"
"1988","205.308","10.837","16.03","a"
"1989","217.817","10.842","16.25","a"
"1990","227.413","10.847","16.28","a"
"1991","233.975","10.897","17.08","a"
"1992","250.65","10.947","17.61","a"
"1993","259.612","10.997","18.42","a"
"1994","281.925","11.047","17.47","a"
"1995","297.538","11.097","17.76","a"
"1996","311.12","11.148","17.67","a"
"1997","343.46","11.199","16.42","a"
"1998","364.985","11.250","16.65","a"
"1999","378.814","11.302","17.14","a"
"2000","395.127","11.364","17.50","a"
"2001","398.945","11.387","16.62","i"
"2002","414.216","11.408","13.79","a"
"2003","428.667","11.435","16.69","i"
"2004","451.195","11.452","19.72","a"
"2005","467.392","11.463","18.26","a"
"2006","480.097","11.481","18.82","a"
"2007","492.925","11.501","20.98","a"
"2008","492.745","11.515","16.69","a"
"2009","479.526","11.529","8.16","a"
"2010","498.989","11.541","19.85","a"
"2011","528.567","11.545","20.04","a"
"2012","550.299","11.551","15.50","a"
"2013","564.683","11.570","18.36","a"
"2014","591.485","11.594","18.67","a"
"2015","607.326","11.605","16.17","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
