"Total Direct Revenue"
"Year","GDP-OK $ billion nominal","Population-OK million","Total Direct Revenue-total percent GDP",""
"1957","4.574","2.299","10.73","a"
"1958","4.643","2.309","11.05","i"
"1959","5.033","2.319","10.79","i"
"1960","5.233","2.328","11.16","i"
"1961","5.426","2.350","11.30","a"
"1962","5.828","2.373","11.46","a"
"1963","6.151","2.395","11.58","a"
"1964","6.544","2.418","11.46","a"
"1965","6.966","2.441","11.51","a"
"1966","7.468","2.464","11.93","a"
"1967","8.087","2.488","11.80","a"
"1968","8.836","2.511","11.68","a"
"1969","9.622","2.535","11.72","a"
"1970","10.369","2.559","11.83","a"
"1971","11.278","2.603","11.75","a"
"1972","12.738","2.647","11.95","a"
"1973","14.483","2.691","11.30","a"
"1974","16.204","2.737","11.27","a"
"1975","18.163","2.783","11.24","a"
"1976","20.822","2.830","11.38","a"
"1977","24.022","2.877","11.09","a"
"1978","27.105","2.926","11.41","a"
"1979","31.546","2.975","11.22","a"
"1980","37.608","3.025","10.86","a"
"1981","45.43","3.037","10.85","a"
"1982","49.317","3.049","12.52","a"
"1983","47.701","3.061","12.31","a"
"1984","51.291","3.073","12.83","a"
"1985","52.765","3.085","13.99","a"
"1986","48.997","3.097","15.67","a"
"1987","49.055","3.109","15.40","a"
"1988","52.667","3.121","15.58","a"
"1989","55.007","3.133","15.65","a"
"1990","57.805","3.146","15.66","a"
"1991","59.632","3.175","15.99","a"
"1992","62.209","3.204","16.00","a"
"1993","65.552","3.234","15.89","a"
"1994","68.251","3.264","16.30","a"
"1995","70.859","3.295","16.16","a"
"1996","76.316","3.325","16.68","a"
"1997","79.915","3.356","17.32","a"
"1998","81.672","3.387","18.08","a"
"1999","84.642","3.419","17.14","a"
"2000","91.421","3.454","17.04","a"
"2001","97.441","3.467","17.64","i"
"2002","99.459","3.489","14.83","a"
"2003","105.899","3.505","15.20","i"
"2004","113.929","3.525","16.92","a"
"2005","125.243","3.549","15.47","a"
"2006","137.584","3.594","15.55","a"
"2007","145.693","3.634","16.82","a"
"2008","156.398","3.669","13.36","a"
"2009","143.648","3.718","13.46","a"
"2010","149.913","3.760","16.32","a"
"2011","163.868","3.786","16.58","a"
"2012","174.305","3.817","14.10","a"
"2013","186.007","3.852","15.17","a"
"2014","196.767","3.878","15.53","a"
"2015","188.011","3.907","14.56","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
