"Total Direct Revenue"
"Year","GDP-OR $ billion nominal","Population-OR million","Total Direct Revenue-total percent GDP",""
"1957","4.244","1.691","12.58","a"
"1958","4.308","1.716","12.93","i"
"1959","4.669","1.742","12.55","i"
"1960","4.855","1.769","13.45","i"
"1961","5.034","1.799","13.39","a"
"1962","5.408","1.829","13.18","a"
"1963","5.707","1.860","13.47","a"
"1964","6.164","1.891","13.42","a"
"1965","6.725","1.923","13.23","a"
"1966","7.267","1.956","13.42","a"
"1967","7.639","1.989","13.72","a"
"1968","8.528","2.023","12.76","a"
"1969","9.353","2.057","13.71","a"
"1970","9.798","2.092","14.23","a"
"1971","10.864","2.140","13.80","a"
"1972","12.221","2.190","14.34","a"
"1973","14.18","2.241","13.97","a"
"1974","15.424","2.293","14.19","a"
"1975","16.823","2.347","14.91","a"
"1976","19.758","2.401","14.98","a"
"1977","22.047","2.457","15.58","a"
"1978","25.391","2.515","15.23","a"
"1979","28.372","2.573","15.66","a"
"1980","30.001","2.633","16.76","a"
"1981","31.59","2.653","17.94","a"
"1982","31.594","2.674","18.61","a"
"1983","33.727","2.694","18.94","a"
"1984","37.444","2.715","18.30","a"
"1985","39.446","2.736","18.80","a"
"1986","41.73","2.757","18.58","a"
"1987","44.594","2.778","19.66","a"
"1988","49.138","2.799","17.93","a"
"1989","52.61","2.821","17.96","a"
"1990","56.566","2.842","19.53","a"
"1991","59.441","2.896","18.71","a"
"1992","63.392","2.950","20.42","a"
"1993","69.409","3.005","19.64","a"
"1994","75.393","3.061","17.98","a"
"1995","81.554","3.118","18.93","a"
"1996","93.306","3.177","19.51","a"
"1997","100.79","3.236","17.81","a"
"1998","105.526","3.297","17.81","a"
"1999","107.742","3.359","17.48","a"
"2000","117.557","3.430","19.91","a"
"2001","116.653","3.468","15.09","i"
"2002","121.204","3.513","13.82","a"
"2003","127.622","3.547","17.26","i"
"2004","142.328","3.569","20.23","a"
"2005","147.535","3.613","18.40","a"
"2006","163.564","3.671","18.83","a"
"2007","170.941","3.722","21.02","a"
"2008","180.934","3.769","12.93","a"
"2009","181.022","3.809","6.86","a"
"2010","191.12","3.838","17.29","a"
"2011","199.929","3.868","19.14","a"
"2012","196.973","3.899","14.49","a"
"2013","196.594","3.926","18.51","a"
"2014","203.326","3.968","20.26","a"
"2015","216.522","4.025","17.04","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
