"Total Direct Revenue"
"Year","GDP-AZ $ billion nominal","Population-AZ million","Total Direct Revenue-total percent GDP",""
"1957","3.333","1.103","8.64","a"
"1958","3.383","1.166","9.58","i"
"1959","3.667","1.232","9.93","i"
"1960","3.813","1.302","11.25","i"
"1961","3.954","1.343","11.79","a"
"1962","4.247","1.385","12.06","a"
"1963","4.482","1.429","13.03","a"
"1964","4.817","1.474","12.91","a"
"1965","5.028","1.520","13.39","a"
"1966","5.527","1.568","13.46","a"
"1967","5.783","1.618","14.28","a"
"1968","6.593","1.669","13.61","a"
"1969","7.563","1.721","13.67","a"
"1970","8.569","1.775","13.79","a"
"1971","9.649","1.853","13.79","a"
"1972","11.292","1.933","13.51","a"
"1973","13.33","2.017","13.12","a"
"1974","14.611","2.105","13.42","a"
"1975","15.284","2.197","15.09","a"
"1976","16.97","2.292","16.05","a"
"1977","19.609","2.392","15.79","a"
"1978","23.279","2.496","15.17","a"
"1979","27.495","2.605","15.34","a"
"1980","30.764","2.718","15.55","a"
"1981","34.269","2.801","15.05","a"
"1982","35.794","2.886","16.03","a"
"1983","39.774","2.973","16.68","a"
"1984","46.135","3.063","15.79","a"
"1985","50.709","3.156","16.78","a"
"1986","55.881","3.252","17.66","a"
"1987","60.047","3.351","17.66","a"
"1988","64.945","3.453","16.93","a"
"1989","67.895","3.557","17.88","a"
"1990","70.632","3.665","18.82","a"
"1991","73.358","3.791","18.60","a"
"1992","82.682","3.920","16.92","a"
"1993","89.3","4.054","17.04","a"
"1994","100.374","4.193","16.06","a"
"1995","109.906","4.336","15.69","a"
"1996","119.53","4.485","14.74","a"
"1997","132.708","4.638","14.22","a"
"1998","143.768","4.797","15.71","a"
"1999","156.145","4.961","13.94","a"
"2000","165.912","5.161","14.05","a"
"2001","172.288","5.273","13.31","i"
"2002","179.605","5.396","13.57","a"
"2003","192.685","5.510","11.98","i"
"2004","204.136","5.652","15.09","a"
"2005","227.358","5.839","14.43","a"
"2006","248.459","6.029","15.31","a"
"2007","262.045","6.168","16.23","a"
"2008","256.718","6.280","14.57","a"
"2009","242.509","6.343","12.93","a"
"2010","245.668","6.408","16.48","a"
"2011","254.192","6.467","17.89","a"
"2012","264.693","6.550","15.26","a"
"2013","270.469","6.625","17.13","a"
"2014","280.79","6.720","17.24","a"
"2015","291.448","6.818","14.66","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
