"Total Direct Revenue"
"Year","GDP-PA $ billion nominal","Population-PA million","Total Direct Revenue-total percent GDP",""
"1957","25.681","11.066","10.24","a"
"1958","26.065","11.150","9.76","i"
"1959","28.255","11.234","9.63","i"
"1960","29.38","11.319","10.38","i"
"1961","30.461","11.367","10.98","a"
"1962","32.721","11.414","10.84","a"
"1963","34.533","11.462","10.61","a"
"1964","37.375","11.510","10.47","a"
"1965","40.541","11.558","10.73","a"
"1966","44.082","11.606","10.43","a"
"1967","46.515","11.654","10.48","a"
"1968","49.957","11.703","10.49","a"
"1969","54.486","11.752","10.59","a"
"1970","56.67","11.801","11.76","a"
"1971","60.293","11.807","12.45","a"
"1972","65.39","11.813","13.36","a"
"1973","71.852","11.820","13.39","a"
"1974","78.201","11.826","13.50","a"
"1975","84.12","11.832","13.08","a"
"1976","90.743","11.839","14.01","a"
"1977","99.024","11.845","13.97","a"
"1978","110.054","11.851","13.71","a"
"1979","120.527","11.858","13.46","a"
"1980","127.181","11.864","14.37","a"
"1981","138.573","11.866","14.45","a"
"1982","142.077","11.867","15.27","a"
"1983","152.042","11.869","15.50","a"
"1984","167.39","11.871","15.33","a"
"1985","176.873","11.873","15.42","a"
"1986","187.386","11.875","15.60","a"
"1987","202.91","11.876","15.78","a"
"1988","220.582","11.878","14.75","a"
"1989","233.162","11.880","14.91","a"
"1990","245.281","11.882","15.34","a"
"1991","255.163","11.921","14.81","a"
"1992","269.849","11.961","16.80","a"
"1993","281.704","12.000","17.03","a"
"1994","296.602","12.040","16.32","a"
"1995","312.989","12.080","16.09","a"
"1996","325.001","12.120","16.57","a"
"1997","355.65","12.160","17.21","a"
"1998","373.744","12.200","16.46","a"
"1999","390.617","12.241","16.05","a"
"2000","408.556","12.284","16.66","a"
"2001","426.02","12.299","12.73","i"
"2002","437.895","12.331","13.17","a"
"2003","456.705","12.375","13.92","i"
"2004","483.757","12.411","17.38","a"
"2005","506.505","12.450","16.66","a"
"2006","525.979","12.511","17.30","a"
"2007","559.876","12.564","18.30","a"
"2008","579.432","12.612","15.63","a"
"2009","573.964","12.667","9.26","a"
"2010","596.662","12.712","16.77","a"
"2011","615.411","12.744","17.30","a"
"2012","637.896","12.772","15.13","a"
"2013","659.792","12.781","16.21","a"
"2014","684.781","12.791","16.26","a"
"2015","708.402","12.792","15.09","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
