"Total Direct Revenue"
"Year","GDP-RI $ billion nominal","Population-RI million","Total Direct Revenue-total percent GDP",""
"1957","1.997","0.839","9.21","a"
"1958","2.027","0.846","9.77","i"
"1959","2.198","0.852","9.69","i"
"1960","2.285","0.859","10.11","i"
"1961","2.369","0.868","10.51","a"
"1962","2.545","0.877","10.10","a"
"1963","2.686","0.886","10.39","a"
"1964","2.881","0.895","10.17","a"
"1965","3.157","0.903","10.14","a"
"1966","3.47","0.913","10.20","a"
"1967","3.631","0.922","10.30","a"
"1968","3.912","0.931","10.76","a"
"1969","4.113","0.940","11.48","a"
"1970","4.311","0.950","12.32","a"
"1971","4.599","0.949","12.96","a"
"1972","5.114","0.949","12.98","a"
"1973","5.418","0.949","13.57","a"
"1974","5.599","0.949","14.27","a"
"1975","6.002","0.948","14.30","a"
"1976","6.528","0.948","16.70","a"
"1977","7.245","0.948","15.50","a"
"1978","7.975","0.948","15.01","a"
"1979","8.845","0.947","15.10","a"
"1980","9.626","0.947","15.58","a"
"1981","10.729","0.953","15.44","a"
"1982","11.42","0.958","16.44","a"
"1983","12.323","0.964","16.68","a"
"1984","13.801","0.969","16.22","a"
"1985","15.222","0.975","15.49","a"
"1986","16.622","0.981","15.55","a"
"1987","17.891","0.986","15.96","a"
"1988","19.738","0.992","15.25","a"
"1989","21.059","0.998","15.35","a"
"1990","21.664","1.003","15.59","a"
"1991","21.738","1.008","15.80","a"
"1992","22.665","1.012","16.89","a"
"1993","23.566","1.017","17.34","a"
"1994","24.354","1.021","18.40","a"
"1995","25.55","1.026","17.42","a"
"1996","26.454","1.030","17.45","a"
"1997","29.142","1.035","16.33","a"
"1998","30.783","1.039","16.01","a"
"1999","32.383","1.044","18.15","a"
"2000","34.613","1.050","18.00","a"
"2001","36.281","1.057","15.76","i"
"2002","38.349","1.066","13.29","a"
"2003","40.788","1.071","15.88","i"
"2004","43.713","1.075","17.25","a"
"2005","45.663","1.068","16.69","a"
"2006","48.011","1.063","16.74","a"
"2007","48.044","1.057","19.13","a"
"2008","47.343","1.055","15.57","a"
"2009","47.709","1.054","10.95","a"
"2010","49.351","1.053","18.25","a"
"2011","49.716","1.052","19.79","a"
"2012","50.997","1.053","17.19","a"
"2013","52.187","1.053","18.22","a"
"2014","53.725","1.054","18.36","a"
"2015","55.65","1.056","16.49","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
