"Total Direct Revenue"
"Year","GDP-SC $ billion nominal","Population-SC million","Total Direct Revenue-total percent GDP",""
"1957","3.761","2.300","9.28","a"
"1958","3.817","2.327","9.35","i"
"1959","4.138","2.355","9.13","i"
"1960","4.302","2.383","10.23","i"
"1961","4.461","2.403","10.15","a"
"1962","4.792","2.423","10.06","a"
"1963","5.057","2.443","10.32","a"
"1964","5.544","2.464","9.99","a"
"1965","6.211","2.484","9.76","a"
"1966","6.941","2.505","9.81","a"
"1967","7.381","2.526","10.35","a"
"1968","8.17","2.548","10.06","a"
"1969","8.874","2.569","10.31","a"
"1970","9.556","2.591","11.02","a"
"1971","10.551","2.639","11.15","a"
"1972","11.897","2.689","11.55","a"
"1973","13.761","2.740","11.75","a"
"1974","15.312","2.791","11.83","a"
"1975","16.03","2.844","12.78","a"
"1976","18.177","2.897","12.91","a"
"1977","20.103","2.952","12.85","a"
"1978","22.976","3.008","13.23","a"
"1979","25.507","3.064","13.40","a"
"1980","27.607","3.122","13.94","a"
"1981","31.048","3.157","14.17","a"
"1982","32.353","3.192","15.49","a"
"1983","35.85","3.227","15.21","a"
"1984","41.203","3.263","14.60","a"
"1985","43.988","3.299","15.47","a"
"1986","47.748","3.336","15.83","a"
"1987","52.688","3.373","15.70","a"
"1988","57.329","3.410","15.49","a"
"1989","61.347","3.448","15.99","a"
"1990","65.157","3.487","16.37","a"
"1991","68","3.536","16.20","a"
"1992","71.848","3.586","16.15","a"
"1993","76.158","3.637","16.71","a"
"1994","82.062","3.688","16.64","a"
"1995","87.248","3.740","16.68","a"
"1996","90.755","3.793","16.63","a"
"1997","98.196","3.847","16.88","a"
"1998","104.039","3.901","17.71","a"
"1999","110.707","3.956","16.05","a"
"2000","115.809","4.024","16.48","a"
"2001","120.008","4.065","16.55","i"
"2002","124.902","4.108","15.73","a"
"2003","131.519","4.150","15.20","i"
"2004","136.369","4.211","17.90","a"
"2005","143.585","4.270","18.23","a"
"2006","151.084","4.358","18.49","a"
"2007","160.145","4.444","20.27","a"
"2008","162.266","4.529","17.87","a"
"2009","160.439","4.590","15.59","a"
"2010","164.106","4.636","21.04","a"
"2011","170.193","4.673","21.76","a"
"2012","174.567","4.721","18.91","a"
"2013","181.556","4.768","20.27","a"
"2014","191.168","4.828","20.70","a"
"2015","201.831","4.895","18.53","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
