"Total Direct Revenue"
"Year","GDP-SD $ billion nominal","Population-SD million","Total Direct Revenue-total percent GDP",""
"1957","1.197","0.672","12.95","a"
"1958","1.215","0.675","13.50","i"
"1959","1.317","0.678","13.06","i"
"1960","1.37","0.681","13.80","i"
"1961","1.42","0.679","14.51","a"
"1962","1.526","0.678","13.96","a"
"1963","1.61","0.676","13.91","a"
"1964","1.597","0.675","14.21","a"
"1965","1.763","0.673","13.44","a"
"1966","1.919","0.672","13.50","a"
"1967","1.96","0.671","14.69","a"
"1968","2.093","0.669","14.43","a"
"1969","2.273","0.668","14.43","a"
"1970","2.437","0.666","15.10","a"
"1971","2.656","0.669","15.44","a"
"1972","3.046","0.671","14.51","a"
"1973","3.958","0.674","12.05","a"
"1974","3.966","0.676","12.93","a"
"1975","4.4","0.678","12.66","a"
"1976","4.645","0.681","13.48","a"
"1977","5.116","0.683","13.33","a"
"1978","5.971","0.686","12.48","a"
"1979","6.716","0.688","12.28","a"
"1980","6.76","0.691","13.55","a"
"1981","7.661","0.691","13.14","a"
"1982","7.709","0.692","14.74","a"
"1983","8.123","0.692","15.27","a"
"1984","9.194","0.693","15.29","a"
"1985","9.588","0.693","14.62","a"
"1986","10.067","0.694","15.30","a"
"1987","10.669","0.694","14.72","a"
"1988","11.173","0.695","15.47","a"
"1989","11.79","0.695","14.61","a"
"1990","12.77","0.696","14.37","a"
"1991","13.736","0.702","13.90","a"
"1992","14.886","0.707","13.82","a"
"1993","16.105","0.713","14.12","a"
"1994","17.33","0.719","13.75","a"
"1995","18.054","0.725","13.87","a"
"1996","19.419","0.731","13.86","a"
"1997","19.159","0.737","14.41","a"
"1998","20.328","0.743","16.37","a"
"1999","21.194","0.749","15.82","a"
"2000","22.875","0.756","14.90","a"
"2001","23.951","0.758","14.49","i"
"2002","26.793","0.760","10.50","a"
"2003","28.118","0.764","11.56","i"
"2004","30.261","0.770","13.99","a"
"2005","31.38","0.775","14.28","a"
"2006","32.52","0.783","14.38","a"
"2007","35.165","0.792","16.00","a"
"2008","37.246","0.799","10.13","a"
"2009","36.687","0.807","7.96","a"
"2010","38.176","0.816","13.06","a"
"2011","42.253","0.824","15.15","a"
"2012","43.056","0.834","11.68","a"
"2013","44.56","0.845","14.82","a"
"2014","45.47","0.853","15.73","a"
"2015","47.073","0.858","12.67","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
