"Total Direct Revenue"
"Year","GDP-TN $ billion nominal","Population-TN million","Total Direct Revenue-total percent GDP",""
"1957","6.734","3.482","10.02","a"
"1958","6.834","3.510","10.24","i"
"1959","7.409","3.539","9.96","i"
"1960","7.704","3.567","10.68","i"
"1961","7.987","3.601","10.83","a"
"1962","8.58","3.636","10.69","a"
"1963","9.055","3.671","11.44","a"
"1964","9.758","3.707","11.63","a"
"1965","10.82","3.742","11.07","a"
"1966","11.98","3.778","10.96","a"
"1967","12.598","3.815","11.20","a"
"1968","13.974","3.851","11.19","a"
"1969","15.167","3.889","11.34","a"
"1970","16.1","3.926","11.96","a"
"1971","17.867","3.988","12.07","a"
"1972","20.326","4.051","12.30","a"
"1973","23.15","4.115","12.44","a"
"1974","25.106","4.180","12.82","a"
"1975","26.645","4.246","13.28","a"
"1976","30.549","4.313","13.37","a"
"1977","33.598","4.381","13.83","a"
"1978","38.182","4.450","13.90","a"
"1979","42.194","4.520","14.15","a"
"1980","44.972","4.591","14.52","a"
"1981","50.265","4.619","14.94","a"
"1982","52.045","4.647","15.96","a"
"1983","57.073","4.675","15.80","a"
"1984","63.983","4.703","14.70","a"
"1985","68.426","4.732","15.57","a"
"1986","73.288","4.761","15.50","a"
"1987","80.715","4.790","15.69","a"
"1988","87.356","4.819","15.41","a"
"1989","91.579","4.848","15.50","a"
"1990","94.087","4.877","16.16","a"
"1991","101.208","4.953","15.37","a"
"1992","111.66","5.030","15.53","a"
"1993","119.568","5.108","15.35","a"
"1994","129.895","5.187","15.25","a"
"1995","137.061","5.268","14.54","a"
"1996","143.163","5.349","15.53","a"
"1997","155.195","5.432","15.07","a"
"1998","166.282","5.517","14.90","a"
"1999","174.94","5.602","14.55","a"
"2000","181.216","5.704","15.07","a"
"2001","185.896","5.751","13.45","i"
"2002","194.846","5.796","13.28","a"
"2003","204.167","5.848","12.95","i"
"2004","218.126","5.911","15.35","a"
"2005","227.505","5.991","15.73","a"
"2006","239.017","6.089","16.14","a"
"2007","243.001","6.176","17.99","a"
"2008","249.052","6.247","15.80","a"
"2009","246.541","6.306","13.31","a"
"2010","252.478","6.357","16.67","a"
"2011","263.175","6.398","17.99","a"
"2012","278.298","6.454","15.30","a"
"2013","288.012","6.495","15.86","a"
"2014","298.865","6.545","15.48","a"
"2015","316.659","6.595","14.31","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
