"Total Direct Revenue"
"Year","GDP-TX $ billion nominal","Population-TX million","Total Direct Revenue-total percent GDP",""
"1957","21.753","8.976","8.53","a"
"1958","22.079","9.173","8.84","i"
"1959","23.934","9.374","8.74","i"
"1960","24.887","9.580","9.35","i"
"1961","25.803","9.730","9.34","a"
"1962","27.717","9.884","9.91","a"
"1963","29.252","10.039","9.98","a"
"1964","31.356","10.197","9.85","a"
"1965","33.858","10.358","9.97","a"
"1966","36.774","10.521","9.81","a"
"1967","39.907","10.686","9.51","a"
"1968","44.484","10.854","9.24","a"
"1969","48.575","11.025","9.60","a"
"1970","52.314","11.199","10.25","a"
"1971","57.344","11.470","10.37","a"
"1972","64.019","11.748","10.59","a"
"1973","73.84","12.033","10.12","a"
"1974","85.387","12.325","9.91","a"
"1975","98.804","12.623","9.82","a"
"1976","113.757","12.929","10.10","a"
"1977","130.404","13.243","9.96","a"
"1978","149.091","13.564","9.81","a"
"1979","171.608","13.892","9.72","a"
"1980","203.073","14.229","9.44","a"
"1981","245.235","14.484","9.36","a"
"1982","260.085","14.742","10.13","a"
"1983","264.883","15.006","11.01","a"
"1984","288.637","15.274","11.15","a"
"1985","307.224","15.547","12.01","a"
"1986","295.721","15.825","13.49","a"
"1987","300.667","16.108","14.30","a"
"1988","327.354","16.395","13.76","a"
"1989","349.952","16.688","13.91","a"
"1990","378.943","16.987","13.57","a"
"1991","393.574","17.338","13.70","a"
"1992","416.401","17.698","13.77","a"
"1993","443.775","18.064","14.11","a"
"1994","475.99","18.438","13.92","a"
"1995","507.725","18.820","13.82","a"
"1996","551.513","19.210","13.70","a"
"1997","614.436","19.608","14.50","a"
"1998","648.156","20.014","13.01","a"
"1999","683.578","20.429","14.60","a"
"2000","741.115","20.945","13.78","a"
"2001","776.521","21.320","12.50","i"
"2002","788.944","21.690","11.52","a"
"2003","833.469","22.031","13.33","i"
"2004","909.635","22.394","13.84","a"
"2005","990.054","22.778","13.53","a"
"2006","1088.3","23.360","13.42","a"
"2007","1179.21","23.832","13.89","a"
"2008","1243.39","24.309","11.14","a"
"2009","1166.52","24.802","11.43","a"
"2010","1243.4","25.244","13.25","a"
"2011","1344.73","25.646","13.26","a"
"2012","1437.89","26.072","12.22","a"
"2013","1536.47","26.474","12.56","a"
"2014","1614.13","26.945","13.42","a"
"2015","1611.19","27.430","11.98","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
