"Total Direct Revenue"
"Year","GDP-UT $ billion nominal","Population-UT million","Total Direct Revenue-total percent GDP",""
"1957","2.229","0.825","9.24","a"
"1958","2.263","0.846","9.81","i"
"1959","2.453","0.868","9.54","i"
"1960","2.551","0.891","10.31","i"
"1961","2.644","0.906","10.51","a"
"1962","2.841","0.922","10.77","a"
"1963","2.998","0.938","10.87","a"
"1964","3.078","0.955","11.37","a"
"1965","3.207","0.971","11.63","a"
"1966","3.409","0.988","12.50","a"
"1967","3.488","1.006","13.02","a"
"1968","3.724","1.023","13.13","a"
"1969","4.036","1.041","13.13","a"
"1970","4.448","1.059","13.71","a"
"1971","4.936","1.094","13.37","a"
"1972","5.604","1.130","13.13","a"
"1973","6.472","1.167","12.89","a"
"1974","7.348","1.205","12.10","a"
"1975","8.186","1.244","12.22","a"
"1976","9.3","1.285","12.90","a"
"1977","10.381","1.327","13.11","a"
"1978","11.998","1.370","13.21","a"
"1979","13.709","1.415","13.56","a"
"1980","15.311","1.461","13.94","a"
"1981","17.32","1.485","13.68","a"
"1982","18.365","1.510","16.08","a"
"1983","19.752","1.535","16.08","a"
"1984","22.147","1.561","17.36","a"
"1985","24.083","1.587","18.38","a"
"1986","24.282","1.613","17.32","a"
"1987","25.1","1.640","18.68","a"
"1988","27.325","1.667","18.56","a"
"1989","28.668","1.695","18.38","a"
"1990","31.249","1.723","18.85","a"
"1991","33.501","1.768","17.76","a"
"1992","35.602","1.815","18.26","a"
"1993","38.631","1.862","18.29","a"
"1994","42.591","1.911","18.24","a"
"1995","46.746","1.961","17.57","a"
"1996","52.016","2.013","16.44","a"
"1997","57.097","2.066","17.59","a"
"1998","61.717","2.120","17.87","a"
"1999","65.851","2.176","17.01","a"
"2000","70.172","2.245","18.21","a"
"2001","73.507","2.284","16.27","i"
"2002","76.063","2.325","14.69","a"
"2003","79.61","2.360","17.10","i"
"2004","85.69","2.402","18.32","a"
"2005","94.475","2.458","16.92","a"
"2006","106.312","2.526","16.23","a"
"2007","115.982","2.598","17.16","a"
"2008","116.117","2.663","16.48","a"
"2009","113.194","2.723","10.77","a"
"2010","117.714","2.775","16.22","a"
"2011","124.031","2.816","16.45","a"
"2012","128.018","2.856","14.80","a"
"2013","133.274","2.903","16.62","a"
"2014","140.5","2.942","16.76","a"
"2015","149.099","2.991","15.27","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
