"Total Direct Revenue"
"Year","GDP-VT $ billion nominal","Population-VT million","Total Direct Revenue-total percent GDP",""
"1957","0.738","0.386","12.33","a"
"1958","0.749","0.387","12.55","i"
"1959","0.812","0.389","13.18","i"
"1960","0.845","0.390","14.08","i"
"1961","0.876","0.395","13.24","a"
"1962","0.941","0.400","13.60","a"
"1963","0.993","0.406","13.29","a"
"1964","1.09","0.411","12.94","a"
"1965","1.208","0.416","13.08","a"
"1966","1.435","0.422","12.40","a"
"1967","1.505","0.428","13.09","a"
"1968","1.628","0.433","13.39","a"
"1969","1.798","0.439","13.35","a"
"1970","1.98","0.445","15.05","a"
"1971","2.122","0.451","15.27","a"
"1972","2.294","0.457","17.09","a"
"1973","2.483","0.464","16.87","a"
"1974","2.577","0.470","17.93","a"
"1975","2.807","0.477","17.35","a"
"1976","3.222","0.484","17.19","a"
"1977","3.347","0.490","17.75","a"
"1978","3.942","0.497","15.70","a"
"1979","4.399","0.504","15.46","a"
"1980","4.856","0.511","14.87","a"
"1981","5.436","0.516","15.05","a"
"1982","5.755","0.521","15.67","a"
"1983","6.269","0.526","15.39","a"
"1984","6.895","0.531","15.69","a"
"1985","7.524","0.536","16.06","a"
"1986","8.169","0.542","16.17","a"
"1987","9.157","0.547","16.99","a"
"1988","10.259","0.552","16.14","a"
"1989","11.12","0.557","15.67","a"
"1990","11.674","0.563","15.92","a"
"1991","11.733","0.567","16.76","a"
"1992","12.538","0.572","17.03","a"
"1993","13.027","0.576","16.55","a"
"1994","13.689","0.581","16.36","a"
"1995","13.891","0.585","16.66","a"
"1996","14.672","0.590","16.52","a"
"1997","15.542","0.595","17.36","a"
"1998","16.143","0.599","16.86","a"
"1999","17.218","0.604","17.02","a"
"2000","18.391","0.610","16.94","a"
"2001","19.368","0.612","14.71","i"
"2002","20.25","0.615","14.61","a"
"2003","21.362","0.618","15.25","i"
"2004","22.664","0.620","17.20","a"
"2005","23.539","0.621","17.33","a"
"2006","24.319","0.623","18.00","a"
"2007","24.848","0.623","19.87","a"
"2008","25.467","0.624","18.09","a"
"2009","25.527","0.625","15.25","a"
"2010","26.633","0.626","18.92","a"
"2011","27.676","0.627","19.72","a"
"2012","28.195","0.626","19.32","a"
"2013","28.69","0.627","18.62","a"
"2014","29.36","0.627","19.62","a"
"2015","30.3","0.626","17.72","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
