"Total Direct Revenue"
"Year","GDP-VA $ billion nominal","Population-VA million","Total Direct Revenue-total percent GDP",""
"1957","8.687","3.760","8.89","a"
"1958","8.817","3.828","8.60","i"
"1959","9.558","3.897","8.41","i"
"1960","9.939","3.967","8.98","i"
"1961","10.305","4.031","9.10","a"
"1962","11.069","4.095","9.05","a"
"1963","11.682","4.161","9.44","a"
"1964","12.713","4.228","9.41","a"
"1965","13.666","4.296","9.51","a"
"1966","14.904","4.365","9.78","a"
"1967","15.925","4.435","10.07","a"
"1968","17.693","4.506","10.33","a"
"1969","19.638","4.578","10.80","a"
"1970","21.048","4.651","11.06","a"
"1971","23.157","4.717","11.12","a"
"1972","26.064","4.783","11.22","a"
"1973","29.45","4.850","11.33","a"
"1974","32.428","4.918","11.39","a"
"1975","35.067","4.987","11.93","a"
"1976","39.574","5.057","11.73","a"
"1977","43.219","5.128","11.96","a"
"1978","48.379","5.200","12.00","a"
"1979","53.398","5.273","12.11","a"
"1980","58.669","5.347","12.06","a"
"1981","66.179","5.425","12.23","a"
"1982","71.465","5.505","12.35","a"
"1983","79.439","5.586","12.76","a"
"1984","89.768","5.668","12.30","a"
"1985","97.967","5.752","12.43","a"
"1986","107.348","5.836","12.44","a"
"1987","117.603","5.922","12.81","a"
"1988","128.088","6.009","12.59","a"
"1989","137.661","6.098","13.34","a"
"1990","144.971","6.187","13.46","a"
"1991","151.093","6.271","13.74","a"
"1992","158.99","6.356","13.67","a"
"1993","167.688","6.442","13.74","a"
"1994","177.057","6.530","13.57","a"
"1995","186.236","6.618","13.85","a"
"1996","197.756","6.708","14.08","a"
"1997","218.652","6.798","14.99","a"
"1998","234.071","6.891","14.92","a"
"1999","251.056","6.984","14.11","a"
"2000","268.371","7.106","14.59","a"
"2001","284.485","7.198","10.81","i"
"2002","293.065","7.287","11.11","a"
"2003","310.24","7.367","11.49","i"
"2004","331.335","7.476","14.19","a"
"2005","359.273","7.577","13.87","a"
"2006","379.18","7.674","14.40","a"
"2007","392.553","7.751","16.05","a"
"2008","398.817","7.834","12.58","a"
"2009","407.302","7.926","9.38","a"
"2010","420.862","8.026","14.35","a"
"2011","429.174","8.110","15.13","a"
"2012","441.144","8.192","12.80","a"
"2013","449.235","8.263","14.62","a"
"2014","459.068","8.317","15.32","a"
"2015","481.721","8.368","13.89","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
