"Total Direct Revenue"
"Year","GDP-WA $ billion nominal","Population-WA million","Total Direct Revenue-total percent GDP",""
"1957","8.307","2.702","11.28","a"
"1958","8.432","2.751","11.69","i"
"1959","9.14","2.802","11.83","i"
"1960","9.504","2.853","12.35","i"
"1961","9.854","2.905","12.73","a"
"1962","10.585","2.957","12.99","a"
"1963","11.171","3.011","13.11","a"
"1964","11.392","3.065","13.32","a"
"1965","12.33","3.121","13.13","a"
"1966","14.27","3.177","12.71","a"
"1967","15.659","3.235","12.81","a"
"1968","17.014","3.293","13.10","a"
"1969","18.091","3.353","13.71","a"
"1970","18.112","3.413","14.77","a"
"1971","18.761","3.479","15.73","a"
"1972","20.483","3.546","15.88","a"
"1973","23.342","3.615","15.38","a"
"1974","26.24","3.684","15.02","a"
"1975","29.282","3.756","14.90","a"
"1976","32.735","3.828","15.54","a"
"1977","36.826","3.902","15.36","a"
"1978","42.668","3.977","15.31","a"
"1979","48.713","4.054","15.11","a"
"1980","52.682","4.132","15.78","a"
"1981","58.918","4.200","15.04","a"
"1982","62.933","4.270","16.57","a"
"1983","67.949","4.340","17.28","a"
"1984","74.17","4.412","17.42","a"
"1985","77.341","4.484","17.40","a"
"1986","84.015","4.558","17.69","a"
"1987","90.325","4.634","17.73","a"
"1988","99.051","4.710","17.19","a"
"1989","108.064","4.788","17.67","a"
"1990","118.64","4.867","17.46","a"
"1991","125.895","4.961","17.56","a"
"1992","134.469","5.057","17.73","a"
"1993","142.5","5.155","18.62","a"
"1994","150.805","5.254","17.39","a"
"1995","155.069","5.356","20.20","a"
"1996","166.54","5.459","19.91","a"
"1997","193.968","5.565","18.29","a"
"1998","209.988","5.673","17.88","a"
"1999","230.752","5.782","16.70","a"
"2000","237.381","5.911","17.08","a"
"2001","239.397","5.986","13.90","i"
"2002","248.879","6.052","14.10","a"
"2003","258.388","6.104","15.32","i"
"2004","270.385","6.179","17.32","a"
"2005","296.403","6.257","16.59","a"
"2006","316.801","6.371","17.12","a"
"2007","345.971","6.462","18.23","a"
"2008","354.21","6.562","15.16","a"
"2009","348.465","6.667","11.49","a"
"2010","359.694","6.743","16.42","a"
"2011","370.149","6.823","17.82","a"
"2012","388.922","6.895","14.83","a"
"2013","405.561","6.968","16.14","a"
"2014","425.105","7.054","17.27","a"
"2015","446.417","7.160","15.19","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
