"Total Direct Revenue"
"Year","GDP-AR $ billion nominal","Population-AR million","Total Direct Revenue-total percent GDP",""
"1957","2.819","1.822","8.62","a"
"1958","2.861","1.810","9.72","i"
"1959","3.102","1.798","9.48","i"
"1960","3.225","1.786","9.71","i"
"1961","3.344","1.800","9.84","a"
"1962","3.592","1.813","10.05","a"
"1963","3.791","1.826","10.21","a"
"1964","4.148","1.840","9.88","a"
"1965","4.446","1.854","10.03","a"
"1966","4.868","1.867","10.62","a"
"1967","5.132","1.881","10.95","a"
"1968","5.704","1.895","10.03","a"
"1969","6.232","1.909","10.51","a"
"1970","6.667","1.923","10.87","a"
"1971","7.44","1.957","10.62","a"
"1972","8.494","1.991","10.95","a"
"1973","9.886","2.026","10.70","a"
"1974","10.865","2.061","10.92","a"
"1975","11.942","2.097","10.88","a"
"1976","13.704","2.134","11.23","a"
"1977","15.182","2.171","11.05","a"
"1978","17.477","2.209","10.92","a"
"1979","19.099","2.247","10.82","a"
"1980","20.276","2.286","11.79","a"
"1981","22.891","2.293","11.78","a"
"1982","23.527","2.299","12.20","a"
"1983","25.292","2.306","12.64","a"
"1984","28.465","2.312","12.19","a"
"1985","29.326","2.318","13.36","a"
"1986","30.799","2.325","13.40","a"
"1987","32.664","2.331","13.82","a"
"1988","35.004","2.338","13.02","a"
"1989","37.128","2.344","13.12","a"
"1990","38.68","2.351","13.23","a"
"1991","41.572","2.381","13.13","a"
"1992","45.018","2.412","13.73","a"
"1993","47.566","2.443","13.94","a"
"1994","51.416","2.475","13.91","a"
"1995","54.612","2.507","13.94","a"
"1996","57.976","2.539","15.74","a"
"1997","60.417","2.572","15.78","a"
"1998","62.275","2.606","16.52","a"
"1999","66.715","2.639","16.25","a"
"2000","68.809","2.679","16.00","a"
"2001","70.849","2.692","14.66","i"
"2002","74.097","2.706","13.39","a"
"2003","78.774","2.725","13.94","i"
"2004","85.261","2.750","16.13","a"
"2005","90.319","2.781","16.08","a"
"2006","94.839","2.822","17.15","a"
"2007","97.384","2.849","18.47","a"
"2008","99.838","2.875","14.87","a"
"2009","98.02","2.897","12.03","a"
"2010","102.951","2.922","17.71","a"
"2011","107.287","2.939","19.55","a"
"2012","109.226","2.951","15.81","a"
"2013","114.456","2.959","18.04","a"
"2014","117.922","2.967","18.89","a"
"2015","118.677","2.978","16.51","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
