"Total Direct Revenue"
"Year","GDP-WV $ billion nominal","Population-WV million","Total Direct Revenue-total percent GDP",""
"1957","3.433","1.903","9.96","a"
"1958","3.485","1.889","10.13","i"
"1959","3.778","1.874","9.58","i"
"1960","3.928","1.860","10.39","i"
"1961","4.073","1.848","10.34","a"
"1962","4.375","1.837","10.54","a"
"1963","4.617","1.825","10.57","a"
"1964","4.892","1.813","10.55","a"
"1965","5.208","1.801","10.06","a"
"1966","5.57","1.790","10.29","a"
"1967","5.825","1.778","10.56","a"
"1968","6.091","1.767","11.43","a"
"1969","6.381","1.756","11.52","a"
"1970","7.088","1.744","11.37","a"
"1971","7.602","1.764","11.76","a"
"1972","8.391","1.784","12.35","a"
"1973","9.187","1.803","12.43","a"
"1974","10.684","1.824","11.66","a"
"1975","11.973","1.844","12.17","a"
"1976","13.249","1.865","12.83","a"
"1977","14.439","1.886","12.34","a"
"1978","15.957","1.907","12.41","a"
"1979","17.424","1.928","13.46","a"
"1980","18.408","1.950","14.09","a"
"1981","19.837","1.933","14.74","a"
"1982","20.511","1.917","15.96","a"
"1983","20.403","1.901","17.14","a"
"1984","22.172","1.886","17.13","a"
"1985","22.936","1.870","17.10","a"
"1986","22.88","1.854","17.77","a"
"1987","23.425","1.839","17.99","a"
"1988","25.876","1.824","14.83","a"
"1989","26.663","1.809","16.24","a"
"1990","27.754","1.793","17.15","a"
"1991","29.092","1.795","18.36","a"
"1992","30.41","1.796","17.79","a"
"1993","31.881","1.798","18.20","a"
"1994","34.592","1.799","17.67","a"
"1995","36.149","1.801","17.80","a"
"1996","37.224","1.802","17.68","a"
"1997","38.673","1.804","19.18","a"
"1998","39.881","1.805","19.35","a"
"1999","41.854","1.807","19.05","a"
"2000","42.703","1.807","19.37","a"
"2001","44.057","1.801","18.53","i"
"2002","45.41","1.805","18.44","a"
"2003","46.671","1.812","18.32","i"
"2004","49.519","1.816","20.38","a"
"2005","53.453","1.820","20.65","a"
"2006","56.871","1.828","18.72","a"
"2007","58.873","1.834","20.21","a"
"2008","62.581","1.840","16.45","a"
"2009","63.866","1.848","16.21","a"
"2010","67.255","1.854","18.41","a"
"2011","70.945","1.855","19.45","a"
"2012","70.969","1.857","17.66","a"
"2013","72.082","1.853","18.81","a"
"2014","74.002","1.849","19.62","a"
"2015","73.384","1.841","17.95","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
