"Total Direct Revenue"
"Year","GDP-WI $ billion nominal","Population-WI million","Total Direct Revenue-total percent GDP",""
"1957","9.476","3.789","9.80","a"
"1958","9.617","3.842","10.08","i"
"1959","10.425","3.897","9.93","i"
"1960","10.84","3.952","10.52","i"
"1961","11.24","3.996","11.09","a"
"1962","12.074","4.041","10.87","a"
"1963","12.742","4.086","12.16","a"
"1964","13.719","4.132","11.84","a"
"1965","14.784","4.178","11.69","a"
"1966","16.133","4.225","11.85","a"
"1967","16.841","4.273","12.31","a"
"1968","18.226","4.320","12.35","a"
"1969","19.521","4.369","13.07","a"
"1970","20.193","4.418","14.94","a"
"1971","22.083","4.446","14.73","a"
"1972","24.064","4.474","15.42","a"
"1973","27.037","4.502","15.32","a"
"1974","28.694","4.531","15.39","a"
"1975","32.295","4.560","14.44","a"
"1976","37.033","4.588","14.52","a"
"1977","40.686","4.617","14.74","a"
"1978","45.423","4.647","14.82","a"
"1979","50.101","4.676","15.27","a"
"1980","52.899","4.706","15.20","a"
"1981","57.494","4.724","15.32","a"
"1982","59.488","4.742","16.44","a"
"1983","63.17","4.761","17.33","a"
"1984","70.013","4.779","17.02","a"
"1985","73.82","4.798","16.73","a"
"1986","77.824","4.817","17.58","a"
"1987","82.013","4.835","18.56","a"
"1988","89.62","4.854","17.02","a"
"1989","95.216","4.873","17.43","a"
"1990","100.236","4.892","19.12","a"
"1991","104.774","4.937","17.33","a"
"1992","112.972","4.983","19.22","a"
"1993","120.024","5.029","19.38","a"
"1994","129.437","5.075","18.91","a"
"1995","135.311","5.122","16.22","a"
"1996","143.444","5.170","20.87","a"
"1997","155.353","5.218","18.92","a"
"1998","163.831","5.266","20.11","a"
"1999","173.62","5.315","19.68","a"
"2000","182.408","5.374","20.80","a"
"2001","189.229","5.407","11.63","i"
"2002","196.373","5.445","12.71","a"
"2003","204.774","5.479","13.51","i"
"2004","215.99","5.514","19.23","a"
"2005","226.325","5.546","18.17","a"
"2006","235.787","5.578","17.32","a"
"2007","243.632","5.611","20.07","a"
"2008","244.546","5.641","13.95","a"
"2009","244.995","5.669","5.76","a"
"2010","252.875","5.690","21.93","a"
"2011","262.463","5.710","19.79","a"
"2012","272.42","5.726","15.59","a"
"2013","281.569","5.743","19.06","a"
"2014","290.889","5.758","19.13","a"
"2015","301.587","5.768","16.35","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
