"Total Direct Revenue"
"Year","GDP-WY $ billion nominal","Population-WY million","Total Direct Revenue-total percent GDP",""
"1957","1.006","0.318","9.64","a"
"1958","1.021","0.322","10.38","i"
"1959","1.107","0.326","10.21","i"
"1960","1.151","0.330","10.95","i"
"1961","1.193","0.330","10.65","a"
"1962","1.282","0.331","10.53","a"
"1963","1.353","0.331","10.27","a"
"1964","1.405","0.331","10.89","a"
"1965","1.448","0.331","10.77","a"
"1966","1.509","0.331","11.40","a"
"1967","1.541","0.332","11.81","a"
"1968","1.671","0.332","12.03","a"
"1969","1.801","0.332","12.49","a"
"1970","1.943","0.332","12.66","a"
"1971","2.1","0.344","13.24","a"
"1972","2.356","0.356","12.22","a"
"1973","2.844","0.369","11.29","a"
"1974","3.47","0.382","10.43","a"
"1975","3.983","0.395","11.07","a"
"1976","4.722","0.409","11.56","a"
"1977","5.54","0.423","11.82","a"
"1978","6.689","0.438","11.81","a"
"1979","8.063","0.454","12.08","a"
"1980","10.428","0.470","11.16","a"
"1981","12.703","0.468","12.26","a"
"1982","12.422","0.466","16.54","a"
"1983","11.578","0.465","19.13","a"
"1984","12.152","0.463","19.23","a"
"1985","12.205","0.462","20.53","a"
"1986","10.522","0.460","24.43","a"
"1987","10.37","0.458","22.15","a"
"1988","10.991","0.457","19.00","a"
"1989","11.437","0.455","19.05","a"
"1990","12.705","0.454","17.27","a"
"1991","12.977","0.457","17.15","a"
"1992","13.179","0.461","16.87","a"
"1993","13.791","0.465","16.92","a"
"1994","14.07","0.469","17.62","a"
"1995","14.608","0.473","16.72","a"
"1996","15.752","0.477","17.11","a"
"1997","14.719","0.481","19.43","a"
"1998","14.946","0.485","20.49","a"
"1999","15.771","0.490","22.21","a"
"2000","17.349","0.494","35.39","a"
"2001","18.831","0.495","16.58","i"
"2002","19.293","0.500","16.37","a"
"2003","21.235","0.503","14.65","i"
"2004","23.466","0.509","20.83","a"
"2005","27.454","0.514","19.51","a"
"2006","32.674","0.523","18.54","a"
"2007","36.331","0.535","18.33","a"
"2008","42.872","0.546","17.01","a"
"2009","37.129","0.560","14.21","a"
"2010","39.103","0.565","20.32","a"
"2011","41.499","0.568","19.06","a"
"2012","40.201","0.577","17.72","a"
"2013","40.968","0.583","19.99","a"
"2014","41.832","0.584","19.93","a"
"2015","39.415","0.587","21.06","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
