"Total Direct Revenue"
"Year","GDP-CA $ billion nominal","Population-CA million","Total Direct Revenue-total percent GDP",""
"1957","50.427","13.960","9.53","a"
"1958","51.181","14.523","10.08","i"
"1959","55.481","15.108","10.30","i"
"1960","57.69","15.717","11.24","i"
"1961","59.813","16.098","12.14","a"
"1962","64.252","16.489","12.02","a"
"1963","67.809","16.888","12.74","a"
"1964","73.513","17.298","13.16","a"
"1965","78.253","17.717","13.06","a"
"1966","84.627","18.146","13.42","a"
"1967","89.571","18.586","13.38","a"
"1968","98.721","19.037","14.11","a"
"1969","106.629","19.498","14.69","a"
"1970","111.985","19.971","15.07","a"
"1971","120.372","20.313","15.15","a"
"1972","133.143","20.661","15.46","a"
"1973","147.231","21.015","15.55","a"
"1974","161.815","21.375","15.13","a"
"1975","178.394","21.741","15.64","a"
"1976","197.347","22.113","16.36","a"
"1977","229.592","22.492","16.08","a"
"1978","262.803","22.878","15.89","a"
"1979","293.491","23.269","13.86","a"
"1980","327.958","23.668","14.35","a"
"1981","368.808","24.216","14.18","a"
"1982","393.788","24.777","14.61","a"
"1983","426.143","25.351","14.28","a"
"1984","482.166","25.939","14.42","a"
"1985","523.906","26.540","15.16","a"
"1986","563.082","27.155","15.86","a"
"1987","615.359","27.784","16.15","a"
"1988","671.575","28.428","15.76","a"
"1989","722.979","29.086","16.01","a"
"1990","773.46","29.760","16.76","a"
"1991","790.046","30.148","16.55","a"
"1992","807.358","30.540","17.35","a"
"1993","826.447","30.938","17.80","a"
"1994","861.36","31.341","17.28","a"
"1995","911.577","31.749","17.25","a"
"1996","964.186","32.163","17.61","a"
"1997","1081.44","32.582","16.48","a"
"1998","1151.12","33.006","17.35","a"
"1999","1248.01","33.436","16.55","a"
"2000","1363","33.988","17.01","a"
"2001","1376.16","34.480","19.84","i"
"2002","1431.27","34.872","14.15","a"
"2003","1523.47","35.253","15.13","i"
"2004","1645.08","35.575","18.55","a"
"2005","1766.69","35.828","18.46","a"
"2006","1879.52","36.021","18.84","a"
"2007","1956.52","36.250","21.30","a"
"2008","1983.93","36.604","14.84","a"
"2009","1912.12","36.961","8.78","a"
"2010","1965.89","37.333","19.31","a"
"2011","2036.3","37.677","21.87","a"
"2012","2131.2","38.011","16.28","a"
"2013","2223.89","38.335","19.51","a"
"2014","2349.34","38.681","20.61","a"
"2015","2491.62","38.994","16.75","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
