"Total Direct Revenue"
"Year","GDP-CO $ billion nominal","Population-CO million","Total Direct Revenue-total percent GDP",""
"1957","4.406","1.612","10.05","a"
"1958","4.472","1.658","11.00","i"
"1959","4.848","1.705","11.22","i"
"1960","5.041","1.754","11.86","i"
"1961","5.226","1.795","12.19","a"
"1962","5.614","1.837","12.31","a"
"1963","5.925","1.880","12.46","a"
"1964","6.228","1.924","12.59","a"
"1965","6.631","1.969","12.89","a"
"1966","7.275","2.015","13.20","a"
"1967","7.666","2.062","13.23","a"
"1968","8.54","2.110","12.56","a"
"1969","9.48","2.159","12.86","a"
"1970","10.431","2.210","13.40","a"
"1971","11.998","2.270","13.19","a"
"1972","13.784","2.331","13.31","a"
"1973","16.12","2.395","12.81","a"
"1974","17.852","2.460","12.97","a"
"1975","20.166","2.527","12.95","a"
"1976","22.253","2.596","13.69","a"
"1977","25.428","2.666","13.89","a"
"1978","29.398","2.739","13.19","a"
"1979","33.785","2.813","13.46","a"
"1980","38.332","2.890","13.16","a"
"1981","43.974","2.928","12.33","a"
"1982","47.654","2.967","13.25","a"
"1983","50.718","3.006","14.10","a"
"1984","56.23","3.045","14.33","a"
"1985","59.641","3.086","15.11","a"
"1986","60.97","3.126","15.89","a"
"1987","63.92","3.167","17.29","a"
"1988","67.757","3.209","16.08","a"
"1989","71.179","3.252","16.08","a"
"1990","75.571","3.294","16.54","a"
"1991","79.766","3.383","16.03","a"
"1992","87.302","3.475","15.89","a"
"1993","95.659","3.569","15.81","a"
"1994","104.507","3.665","15.25","a"
"1995","112.708","3.764","14.99","a"
"1996","121.081","3.866","14.60","a"
"1997","135.868","3.971","14.43","a"
"1998","150.555","4.078","13.82","a"
"1999","164.835","4.188","13.40","a"
"2000","181.488","4.327","14.27","a"
"2001","188.108","4.426","15.69","i"
"2002","193.068","4.490","11.42","a"
"2003","198.811","4.529","11.36","i"
"2004","204.242","4.575","16.40","a"
"2005","220.454","4.632","15.34","a"
"2006","231.92","4.720","15.47","a"
"2007","245.949","4.804","16.65","a"
"2008","254.784","4.890","16.22","a"
"2009","247.27","4.972","9.31","a"
"2010","253.374","5.049","16.72","a"
"2011","262.719","5.118","16.58","a"
"2012","272.799","5.190","14.56","a"
"2013","286.835","5.268","16.11","a"
"2014","305.309","5.350","16.20","a"
"2015","313.329","5.449","15.90","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
