"Total Direct Revenue"
"Year","GDP-CT $ billion nominal","Population-CT million","Total Direct Revenue-total percent GDP",""
"1957","7.345","2.364","8.05","a"
"1958","7.455","2.420","8.16","i"
"1959","8.081","2.477","8.06","i"
"1960","8.403","2.535","8.71","i"
"1961","8.712","2.581","9.00","a"
"1962","9.359","2.628","9.61","a"
"1963","9.877","2.675","9.63","a"
"1964","10.551","2.723","9.50","a"
"1965","11.456","2.773","9.51","a"
"1966","12.812","2.823","9.33","a"
"1967","13.595","2.874","9.50","a"
"1968","14.303","2.926","9.75","a"
"1969","15.627","2.978","10.01","a"
"1970","16.347","3.032","11.61","a"
"1971","17.129","3.040","12.25","a"
"1972","18.799","3.047","13.14","a"
"1973","20.808","3.055","13.67","a"
"1974","22.502","3.062","12.39","a"
"1975","23.976","3.070","11.87","a"
"1976","26.234","3.077","13.76","a"
"1977","29.598","3.085","13.17","a"
"1978","33.231","3.092","11.89","a"
"1979","36.855","3.100","11.51","a"
"1980","40.77","3.108","11.19","a"
"1981","45.642","3.125","11.39","a"
"1982","50.196","3.143","11.61","a"
"1983","55.528","3.160","11.65","a"
"1984","63.618","3.178","11.59","a"
"1985","69.231","3.196","11.98","a"
"1986","75.305","3.214","11.97","a"
"1987","82.984","3.232","12.17","a"
"1988","90.707","3.250","11.92","a"
"1989","95.831","3.269","12.43","a"
"1990","100.169","3.287","12.62","a"
"1991","101.475","3.299","12.54","a"
"1992","105.759","3.310","14.00","a"
"1993","107.68","3.322","14.80","a"
"1994","113.115","3.334","13.45","a"
"1995","123.212","3.346","13.70","a"
"1996","129.111","3.358","13.75","a"
"1997","140.108","3.370","13.43","a"
"1998","147.911","3.382","13.79","a"
"1999","154.708","3.394","13.15","a"
"2000","169.004","3.412","13.11","a"
"2001","175.29","3.433","12.39","i"
"2002","178.017","3.459","11.68","a"
"2003","183.533","3.484","11.99","i"
"2004","200.407","3.496","12.24","a"
"2005","210.17","3.507","12.41","a"
"2006","221.42","3.517","13.07","a"
"2007","236.64","3.527","13.85","a"
"2008","238.211","3.546","11.72","a"
"2009","233.562","3.562","9.83","a"
"2010","234.528","3.580","13.93","a"
"2011","234.233","3.590","15.11","a"
"2012","239.462","3.594","14.00","a"
"2013","240.975","3.596","16.01","a"
"2014","244.784","3.592","15.74","a"
"2015","256.306","3.585","13.89","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
