"Total Direct Revenue"
"Year","GDP-DE $ billion nominal","Population-DE million","Total Direct Revenue-total percent GDP",""
"1957","1.402","0.403","6.56","a"
"1958","1.423","0.417","7.10","i"
"1959","1.542","0.431","7.59","i"
"1960","1.604","0.446","8.17","i"
"1961","1.663","0.456","8.54","a"
"1962","1.786","0.465","8.85","a"
"1963","1.885","0.475","9.18","a"
"1964","2.068","0.485","9.53","a"
"1965","2.313","0.495","9.73","a"
"1966","2.482","0.505","9.99","a"
"1967","2.605","0.515","10.13","a"
"1968","2.884","0.526","9.67","a"
"1969","3.069","0.537","9.74","a"
"1970","3.166","0.548","11.09","a"
"1971","3.623","0.553","11.23","a"
"1972","3.984","0.557","11.45","a"
"1973","4.516","0.562","10.87","a"
"1974","4.737","0.566","11.93","a"
"1975","5.025","0.571","12.38","a"
"1976","5.47","0.575","13.38","a"
"1977","6.056","0.580","12.80","a"
"1978","6.747","0.585","12.78","a"
"1979","7.304","0.590","12.77","a"
"1980","7.898","0.594","12.95","a"
"1981","8.839","0.601","13.55","a"
"1982","9.498","0.608","13.77","a"
"1983","10.611","0.615","13.59","a"
"1984","11.925","0.622","13.84","a"
"1985","13.092","0.629","14.22","a"
"1986","14.138","0.636","13.72","a"
"1987","15.568","0.644","14.11","a"
"1988","16.887","0.651","13.20","a"
"1989","18.9","0.659","13.31","a"
"1990","19.928","0.666","13.05","a"
"1991","21.746","0.677","12.35","a"
"1992","22.907","0.688","13.44","a"
"1993","23.509","0.699","13.33","a"
"1994","25.638","0.711","13.62","a"
"1995","27.721","0.723","13.24","a"
"1996","29.156","0.734","12.88","a"
"1997","33.672","0.746","13.17","a"
"1998","37.298","0.759","12.80","a"
"1999","41.341","0.771","11.47","a"
"2000","44.851","0.786","12.02","a"
"2001","47.762","0.796","11.04","i"
"2002","46.985","0.806","10.33","a"
"2003","48.949","0.818","10.21","i"
"2004","52.376","0.831","11.52","a"
"2005","53.247","0.845","12.12","a"
"2006","56.001","0.859","12.92","a"
"2007","56.968","0.872","14.01","a"
"2008","55.293","0.884","12.77","a"
"2009","57.35","0.892","10.24","a"
"2010","57.471","0.900","13.51","a"
"2011","59.937","0.908","15.25","a"
"2012","60.628","0.917","12.96","a"
"2013","61.109","0.925","14.54","a"
"2014","65.888","0.935","14.02","a"
"2015","68.864","0.944","12.11","a"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
"Data Sources for 1957:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: <a href="https://www.census.gov/compendia/statab/past_years.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
""
"Data Sources for 2015:"
"<a href="https://usgovernmentspending.blogspot.com/2017/05/gross-state-product-update-for-2016.html","State GDP Information",""
"Federal: <a href="https://www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2019&searchPath=Fiscal+Year+2019&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2019-TAB&ycord=822","Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",""
"State and Local: <a href="https://www.census.gov/govs/local/","State and Local Gov. Finances",""
"<a href="https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported revenue forward to future years"
